surveyID,DO,PD,C,I,DOC,DOI,POC,POI,resp_accuracy,mean_prop,missing_entries,bad_subj
mzbmhmq820201113,1,1,1,1,1,1,1,1,1,1,2,FALSE
n10np7qf20200307,0.9,0.9,0.8,1,0.8,1,0.8,1,0.95,0.9,0,FALSE
nll42gx020201125,0.8,0.5,0.7,0.6,0.6,1,0.8,0.2,0.95,0.65,0,FALSE
nmflx2le20200308,0.9,1,0.9,1,0.8,1,1,1,1,0.95,0,FALSE
nn8l7htm20200208,0.9,1,0.9,1,0.8,1,1,1,0.95,0.95,0,FALSE
nv62373d20200306,0.7,0.5,0.6,0.6,0.8,0.6,0.4,0.6,1,0.6,0,FALSE
o42peyga20200227,0.7142857142857143,0.875,0.7142857142857143,0.875,0.6666666666666666,0.75,0.75,1,0.95,0.8,5,TRUE
o5v23rrz20200304,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.2,1,0.35,0,FALSE
o6eldlqz20200129,0.6666666666666666,0.875,0.8888888888888888,0.625,0.8,0.5,1,0.75,0.95,0.7647058823529411,3,FALSE
ob5p7xxa20201119,0.9,0.9,0.9,0.9,0.8,1,1,0.8,0.9,0.9,0,FALSE
ok6o9kx720200209,1,0.5555555555555556,0.7777777777777778,0.7777777777777778,1,1,0.6,0.5,0.95,0.7777777777777778,2,FALSE
p2achudm20201123,1,1,1,1,1,1,1,1,1,1,0,FALSE
p93k4k4v20201204,0.4,0.4,0.5,0.3,0.4,0.4,0.6,0.2,1,0.4,0,FALSE
pglz36nx20200127,1,0.9,1,0.9,1,1,1,0.8,1,0.95,0,FALSE
pl59ybvr20201103,0.9,0.8,0.9,0.8,1,0.8,0.8,0.8,0.95,0.85,0,FALSE
plcd2fbz20200301,0.375,0.4,0.2857142857142857,0.5,0.25,0.5,0.3333333333333333,0.5,0.95,0.38461538461538464,7,TRUE
pmqrpsua20200130,0.8,0.6,0.9,0.5,1,0.6,0.8,0.4,0.85,0.7,0,FALSE
pyb36j9a20200211,0.8888888888888888,0.9,0.8888888888888888,0.9,0.75,1,1,0.8,0.95,0.8947368421052632,1,FALSE
q1pba6fp20201106,0.5714285714285714,0.5,0.5555555555555556,0.5,0.6,0.5,0.5,0.5,0.95,0.5333333333333333,5,TRUE
qokbfd8720201125,0.6,0.5,0.5,0.6,0.6,0.6,0.4,0.6,1,0.55,0,FALSE
qv3wta5b20201118,1,1,1,1,1,1,1,1,1,1,0,FALSE
