surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries
q1pba6fp20201106,0.6,0.5,0.5,0.5,FALSE,0.9333333333333333,0.5333333333333333,5
qokbfd8720201125,0.6,0.6,0.4,0.6,FALSE,1,0.55,0
qv3wta5b20201118,1,1,1,1,FALSE,1,1,0
r9lo90ts20200130,0.6666666666666666,1,0.6,1,TRUE,0.9230769230769231,0.7692307692307693,7
s1somgf720200211,0.4,0.4,0.2,0,TRUE,0.9,0.25,0
s55aohfe20200128,0.3333333333333333,0.4,0,0.4,TRUE,1,0.29411764705882354,3
svolj44520201207,1,1,0.6,1,FALSE,1,0.9,0
sw68ajzc20200213,1,1,0.2,0.4,TRUE,0.9,0.65,0
t7dcx8xl20201203,1,0.75,1,1,FALSE,0.9473684210526315,0.9473684210526315,1
t9cdwyon20200113,1,1,0.8,0.6,TRUE,0.95,0.85,0
tkmy795t20200211,1,1,0.8,0.8,TRUE,1,0.9,0
ucnl2x7f20200212,1,1,0.8,0.8,TRUE,1,0.9,0
utt2nnyo20200113,0.6,0.8,0.4,0.4,TRUE,0.8,0.55,0
uy7f303a20201124,1,0.8,0.4,0.2,FALSE,1,0.6,0
vbv8ea3920201207,1,1,0.8,0.8,FALSE,1,0.9,0
vd9r5nk020201111,1,0.3333333333333333,0.75,1,FALSE,0.8125,0.8125,4
vmm0jyvv20200217,0.8,1,0.2,0.2,TRUE,0.95,0.55,0
vomf13pu20200214,0,0.25,0.6666666666666666,0.5,TRUE,1,0.4,10
w0wujzqz20201208,0.8,0.6,0.8,0,FALSE,0.9,0.55,0
x2qq61ea20200129,1,1,0.6,0.8,TRUE,0.875,0.8125,4
x9y7eeqv20201103,0,0.2,0,0.2,FALSE,1,0.1,0
xgy75o3f20201206,0.75,0.75,0.75,1,FALSE,0.9285714285714286,0.7857142857142857,6
y5qncmp920200228,0.6,1,0.6,0.2,TRUE,0.9,0.6,0
y8u8ss9t20201107,0.75,0.6666666666666666,0.6666666666666666,1,FALSE,0.8461538461538461,0.7692307692307693,7
ygepr20b20201121,1,1,1,1,FALSE,0.95,1,0
yr4btkgb20201126,0.8,1,0.4,0.6,FALSE,0.9473684210526315,0.6842105263157895,1
za0p1wmj20201115,1,1,1,0.8,FALSE,0.95,0.95,0
zalhzd5l20201120,1,1,1,1,FALSE,0.95,1,0
zes08nnl20201116,0.75,0.5,1,0.8,FALSE,0.9411764705882353,0.7647058823529411,3
