,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,mid,ans,bll,ga,lf,mAC,mAI,mPC,mPI,mas,min_rmse
19,26,1.0,1.0,0.9166666666666666,1.0,0.9714285714285714,0.9714285714285714,1,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,0.5793062384067601
20,27,1.0,1.0,0.9090909090909092,1.0,0.7428571428571429,0.9714285714285714,1,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,0.5781690337993676
21,28,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.6666666666666666,0.8857142857142857,0.7714285714285715,1,1284.0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,0.2662708328746797
22,30,0.75,0.6666666666666666,0.4166666666666667,0.5,0.8333333333333334,0.5833333333333334,0,1203.0,1.5,0.1,1.0,0.5,0.636,0.6659999999999999,0.43,0.39,2.8,0.17630666178958726
23,31,0.3333333333333333,0.75,0.8,1.0,0.6875,0.625,20,1261.0,1.5,0.3,0.5,0.7,0.56,0.6459999999999999,0.43,0.41200000000000003,3.2,0.7558517881201594
24,32,0.9166666666666666,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8888888888888888,0,1284.0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,0.5894362031984348
25,33,0.9166666666666666,1.0,1.0,1.0,0.5142857142857142,0.9714285714285714,1,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,0.607418469172801
26,35,0.9166666666666666,1.0,0.75,0.8333333333333334,0.8611111111111112,0.8611111111111112,0,1296.0,1.5,0.5,0.5,0.5,0.6,0.67,0.414,0.406,2.8,0.41821864979718854
27,36,1.0,1.0,0.8333333333333334,1.0,0.8055555555555556,0.9444444444444444,0,1380.0,1.5,0.7,0.5,1.0,0.578,0.62,0.418,0.41,2.8,0.5782999948820113
28,38,0.5,0.8333333333333334,0.08333333333333333,0.2,0.5142857142857142,0.37142857142857133,1,636.0,0.5,0.7,0.5,0.7,0.6759999999999999,0.8079999999999999,0.254,0.174,2.8,0.28641909285333733
29,39,1.0,1.0,0.6666666666666666,0.8333333333333334,0.8888888888888888,0.8611111111111112,0,1296.0,1.5,0.5,0.5,0.5,0.6,0.67,0.414,0.406,2.8,0.46855397259071124
30,40,1.0,1.0,0.08333333333333333,0.0,0.6,0.5142857142857142,1,58.0,0.1,0.3,2.0,0.5,0.996,1.0,0.02,0.0,3.2,0.0721648125054323
31,41,0.8333333333333334,0.6,0.5,0.6,0.7352941176470589,0.6470588235294118,2,1356.0,1.5,0.7,0.5,0.7,0.62,0.61,0.43200000000000005,0.38799999999999996,2.8,0.30924564566185225
32,42,0.5833333333333334,0.5,0.16666666666666666,0.5,0.5277777777777778,0.4166666666666667,0,1357.0,1.5,0.7,0.5,0.7,0.578,0.63,0.384,0.39399999999999996,3.2,0.33967440566941554
