,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,ans,bll,ga,lf,mAC,mAI,mPC,mPI,mas,mid,min_rmse
11,16,0.9166666666666666,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0,1.0,0.9,0.5,1.0,0.612,0.7040000000000001,0.37799999999999995,0.35,3.6,1190.0,0.016980184529817886
12,17,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666,0.9722222222222222,0,1.5,0.9,0.5,0.5,0.556,0.594,0.428,0.406,2.8,1392.0,0.09319831901202225
13,18,0.75,1.0,0.16666666666666666,0.16666666666666666,0.8611111111111112,0.5,0,0.5,0.3,1.0,0.9,0.71,0.93,0.244,0.086,3.6,557.0,0.09781767052361585
14,20,0.18181818181818185,0.8,0.1,0.16666666666666666,0.8125,0.25,4,1.0,0.9,1.0,0.9,0.574,0.792,0.344,0.27,3.6,1181.0,0.24514967536860685
15,21,0.9090909090909092,0.8333333333333334,0.9166666666666666,1.0,0.8857142857142857,0.9142857142857144,1,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.16294266885421183
16,22,1.0,1.0,0.6666666666666666,1.0,0.9166666666666666,0.8888888888888888,0,1.5,0.7,0.5,0.7,0.578,0.63,0.384,0.39399999999999996,3.2,1357.0,0.19110187509981857
17,24,0.8333333333333334,1.0,0.5833333333333334,0.6666666666666666,0.8888888888888888,0.75,0,1.0,0.9,0.5,0.9,0.578,0.708,0.38,0.384,2.8,1176.0,0.053472329292822085
18,25,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8055555555555556,0,1.5,0.7,0.5,0.5,0.546,0.616,0.39799999999999996,0.402,3.2,1345.0,0.10958508110139809
19,26,1.0,1.0,0.9166666666666666,1.0,0.9714285714285714,0.9714285714285714,1,1.5,0.9,0.5,0.5,0.556,0.594,0.428,0.406,2.8,1392.0,0.09319831901202225
20,27,1.0,1.0,0.9090909090909092,1.0,0.7428571428571429,0.9714285714285714,1,1.5,0.9,0.5,0.5,0.556,0.594,0.428,0.406,2.8,1392.0,0.094598555309617
21,28,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.6666666666666666,0.8857142857142857,0.7714285714285715,1,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.022461225849598386
22,30,0.75,0.6666666666666666,0.4166666666666667,0.5,0.8333333333333334,0.5833333333333334,0,1.5,0.5,0.5,0.7,0.614,0.598,0.40399999999999997,0.374,3.2,1309.0,0.07843294375877184
23,31,0.3333333333333333,0.75,0.8,1.0,0.6875,0.625,20,1.5,0.3,0.5,0.7,0.56,0.6459999999999999,0.43,0.41200000000000003,3.2,1261.0,0.3867861510792064
24,32,0.9166666666666666,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8888888888888888,0,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.17085068529762082
25,33,0.9166666666666666,1.0,1.0,1.0,0.5142857142857142,0.9714285714285714,1,1.5,0.9,0.5,0.5,0.556,0.594,0.428,0.406,2.8,1392.0,0.1189063777375573
26,35,0.9166666666666666,1.0,0.75,0.8333333333333334,0.8611111111111112,0.8611111111111112,0,1.5,0.7,0.5,0.5,0.546,0.616,0.39799999999999996,0.402,3.2,1345.0,0.047151776212567005
27,36,1.0,1.0,0.8333333333333334,1.0,0.8055555555555556,0.9444444444444444,0,1.5,0.7,0.5,0.5,0.546,0.616,0.39799999999999996,0.402,3.2,1345.0,0.11678552992558623
28,38,0.5,0.8333333333333334,0.08333333333333333,0.2,0.5142857142857142,0.37142857142857133,1,1.0,0.9,1.0,0.9,0.574,0.792,0.344,0.27,3.6,1181.0,0.15477034599689954
29,39,1.0,1.0,0.6666666666666666,0.8333333333333334,0.8888888888888888,0.8611111111111112,0,1.5,0.7,0.5,0.7,0.578,0.63,0.384,0.39399999999999996,3.2,1357.0,0.09744039203533614
30,40,1.0,1.0,0.08333333333333333,0.0,0.6,0.5142857142857142,1,0.1,0.3,2.0,0.5,0.996,1.0,0.02,0.0,3.2,58.0,0.04043505080166627
31,41,0.8333333333333334,0.6,0.5,0.6,0.7352941176470589,0.6470588235294118,2,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.1463787097451903
32,42,0.5833333333333334,0.5,0.16666666666666666,0.5,0.5277777777777778,0.4166666666666667,0,1.5,0.7,0.5,0.7,0.578,0.63,0.384,0.39399999999999996,3.2,1357.0,0.20238072207269808
33,43,0.5833333333333334,0.5,0.5833333333333334,0.6,0.8,0.5714285714285714,1,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.1310134598683153
34,44,0.9166666666666666,1.0,0.75,0.8333333333333334,0.6388888888888888,0.8611111111111112,0,1.5,0.7,0.5,0.5,0.546,0.616,0.39799999999999996,0.402,3.2,1345.0,0.047151776212567005
35,46,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.8055555555555556,0,1.5,0.5,0.5,0.9,0.6,0.65,0.38,0.384,3.6,1322.0,0.19924238170295663
36,47,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,1.0,0.75,0,1.5,0.7,0.5,0.7,0.578,0.63,0.384,0.39399999999999996,3.2,1357.0,0.15100110374872538
37,49,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.8055555555555556,0,1.5,0.3,0.5,0.7,0.5579999999999999,0.624,0.46799999999999997,0.376,3.6,1262.0,0.07589593752852213
38,50,1.0,1.0,0.6666666666666666,1.0,0.75,0.8888888888888888,0,1.5,0.7,0.5,0.7,0.578,0.63,0.384,0.39399999999999996,3.2,1357.0,0.19110187509981857
39,51,1.0,1.0,0.5454545454545454,0.5,0.8571428571428571,0.7714285714285715,1,0.5,0.7,0.5,0.5,0.75,0.774,0.29,0.21,3.2,625.0,0.03146606637845496
40,52,0.9166666666666666,1.0,0.75,0.6666666666666666,0.8611111111111112,0.8333333333333334,0,1.5,0.7,1.5,0.5,0.588,0.674,0.434,0.34600000000000003,2.8,1350.0,0.00606575084662512
41,53,0.0,0.3333333333333333,0.0,0.0,0.4857142857142857,0.057142857142857134,1,1.5,0.9,1.0,0.5,0.528,0.68,0.41,0.37200000000000005,3.2,1396.0,0.11023819664707872
42,55,0.25,0.6666666666666666,0.0,0.16666666666666666,0.9166666666666666,0.2222222222222222,0,1.0,0.9,1.0,0.9,0.574,0.792,0.344,0.27,3.6,1181.0,0.1802028301664544
43,58,1.0,1.0,0.8333333333333334,1.0,0.9166666666666666,0.9444444444444444,0,1.5,0.7,0.5,0.5,0.546,0.616,0.39799999999999996,0.402,3.2,1345.0,0.11678552992558623
44,59,0.25,0.3333333333333333,0.08333333333333333,0.0,0.5833333333333334,0.16666666666666666,0,1.5,0.7,1.5,0.5,0.588,0.674,0.434,0.34600000000000003,2.8,1350.0,0.00606575084662512
45,61,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.9722222222222222,0,1.5,0.3,0.5,0.7,0.5579999999999999,0.624,0.46799999999999997,0.376,3.6,1262.0,0.07589593752852213
