,surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries,ans,bll,ga,lf,mDOC,mDOI,mPOC,mPOI,mas,mid,min_rmse
15,3oa8oht020201103,1.0,0.25,0.4,0.6,False,0.8333333333333334,0.5555555555555556,2,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.4430500347966732
16,3r2ryu3720201113,1.0,1.0,0.6,0.6,False,1.0,0.8,0,0.75,0.3,0.5,1.0,0.6679999999999999,0.67,0.32799999999999996,0.276,2.8,804.0,0.03557620927904865
17,3snwhrt620201123,1.0,1.0,1.0,1.0,False,1.0,1.0,7,1.5,0.9,0.5,0.5,0.556,0.594,0.428,0.406,2.8,1392.0,0.094678403028357
18,3t6e4bdy20201116,1.0,1.0,0.8,0.4,False,0.95,0.8,0,1.5,0.3,2.0,1.0,0.596,0.774,0.44799999999999995,0.19,3.6,1295.0,0.13292102918650608
19,4keyrr2d20201120,0.6,0.8,0.8,0.8,False,0.9,0.75,0,1.5,0.1,0.5,0.9,0.55,0.63,0.45,0.38799999999999996,2.8,1224.0,0.17481895396857478
20,4mp9c1lx20201102,0.2,0.8,0.2,0.4,False,0.8,0.4,0,1.0,0.9,1.0,0.9,0.574,0.792,0.344,0.27,3.6,1181.0,0.28981373328398363
21,52eq140x20200217,1.0,1.0,1.0,1.0,True,0.95,1.0,0,1.5,0.9,0.5,0.5,0.556,0.594,0.428,0.406,2.8,1392.0,0.094678403028357
22,568mzqtf20201105,0.6,1.0,1.0,0.8,False,0.95,0.85,0,1.5,0.7,0.5,1.0,0.532,0.6579999999999999,0.43799999999999994,0.354,3.6,1382.0,0.2435384979833784
23,5vahoc0o20200127,1.0,0.4,0.6,0.75,True,1.0,0.6842105263157895,1,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.35994444015708865
24,5vvjswl220201208,0.2,0.6,0.2,0.2,False,0.9,0.3,0,1.5,0.3,1.0,1.0,0.524,0.6940000000000001,0.386,0.322,3.6,1289.0,0.1414461028095154
25,60a2h15h20201105,0.2,0.6,0.6,0.6,False,0.85,0.5,0,1.5,0.9,1.0,0.5,0.528,0.68,0.41,0.37200000000000005,3.2,1396.0,0.27899641574758627
26,70on3oc120200214,0.8,0.4,0.4,0.6,True,1.0,0.55,0,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.2608990864938652
