mid,ans,bll,lf,mas,ga,DOC,DOI,POC,POI,DOC_sd,DOI_sd,POC_sd,POI_sd
161,0.1,0.7,0.7,3.6,1,0.996,1,0.006,0,0.019595918,0,0.023748684,0
162,0.1,0.7,0.7,2.8,1.5,0.996,1,0.004,0,0.019595918,0,0.019595918,0
163,0.1,0.7,0.7,3.2,1.5,0.998,1,0.006,0,0.014,0,0.023748684,0
164,0.1,0.7,0.7,3.6,1.5,0.994,1,0.008,0,0.023748684,0,0.02712932,0
165,0.1,0.7,0.7,2.8,2,0.994,1,0.008,0,0.023748684,0,0.02712932,0
166,0.1,0.7,0.7,3.2,2,0.996,1,0.008,0,0.019595918,0,0.02712932,0
167,0.1,0.7,0.7,3.6,2,0.996,1,0.002,0,0.019595918,0,0.014,0
168,0.1,0.7,0.9,2.8,0.5,0.996,1,0.004,0.002,0.019595918,0,0.019595918,0.014
169,0.1,0.7,0.9,3.2,0.5,0.996,1,0.004,0,0.019595918,0,0.019595918,0
170,0.1,0.7,0.9,3.6,0.5,0.988,1,0.008,0,0.032496154,0,0.033704599,0
171,0.1,0.7,0.9,2.8,1,0.996,1,0.004,0,0.019595918,0,0.028,0
172,0.1,0.7,0.9,3.2,1,0.99,1,0,0,0.03,0,0,0
173,0.1,0.7,0.9,3.6,1,0.99,1,0.002,0,0.03,0,0.014,0
174,0.1,0.7,0.9,2.8,1.5,0.994,1,0.004,0,0.023748684,0,0.019595918,0
175,0.1,0.7,0.9,3.2,1.5,0.996,1,0.008,0,0.019595918,0,0.02712932,0
176,0.1,0.7,0.9,3.6,1.5,0.992,1,0.004,0,0.02712932,0,0.019595918,0
177,0.1,0.7,0.9,2.8,2,0.992,1,0.004,0,0.02712932,0,0.019595918,0
178,0.1,0.7,0.9,3.2,2,0.996,1,0.006,0,0.019595918,0,0.023748684,0
179,0.1,0.7,0.9,3.6,2,0.998,1,0.006,0,0.014,0,0.023748684,0
180,0.1,0.7,1,2.8,0.5,0.996,0.998,0.008,0,0.019595918,0.014,0.02712932,0
181,0.1,0.7,1,3.2,0.5,0.994,1,0.01,0,0.031048349,0,0.03,0
182,0.1,0.7,1,3.6,0.5,0.996,1,0.002,0,0.019595918,0,0.014,0
183,0.1,0.7,1,2.8,1,0.996,1,0,0,0.019595918,0,0,0
184,0.1,0.7,1,3.2,1,0.992,1,0.012,0,0.02712932,0,0.032496154,0
185,0.1,0.7,1,3.6,1,0.998,1,0.006,0,0.014,0,0.023748684,0
186,0.1,0.7,1,2.8,1.5,0.994,1,0.006,0,0.023748684,0,0.023748684,0
187,0.1,0.7,1,3.2,1.5,0.998,1,0,0,0.014,0,0,0
188,0.1,0.7,1,3.6,1.5,1,1,0.01,0,0,0,0.036055513,0
189,0.1,0.7,1,2.8,2,0.996,1,0.008,0,0.019595918,0,0.02712932,0
190,0.1,0.7,1,3.2,2,0.996,1,0.008,0,0.019595918,0,0.02712932,0
191,0.1,0.7,1,3.6,2,0.998,1,0.004,0,0.014,0,0.019595918,0
192,0.1,0.9,0.5,2.8,0.5,0.992,1,0.01,0.002,0.02712932,0,0.03,0.014
193,0.1,0.9,0.5,3.2,0.5,0.992,1,0.004,0,0.02712932,0,0.019595918,0
194,0.1,0.9,0.5,3.6,0.5,0.994,1,0.008,0,0.023748684,0,0.02712932,0
195,0.1,0.9,0.5,2.8,1,0.996,1,0.002,0,0.019595918,0,0.014,0
196,0.1,0.9,0.5,3.2,1,0.992,1,0.008,0,0.02712932,0,0.02712932,0
197,0.1,0.9,0.5,3.6,1,0.996,1,0.006,0,0.019595918,0,0.023748684,0
198,0.1,0.9,0.5,2.8,1.5,0.996,1,0.008,0,0.019595918,0,0.033704599,0
199,0.1,0.9,0.5,3.2,1.5,0.996,1,0.01,0,0.019595918,0,0.03,0
