,surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries,ans,bll,ga,lf,mDOC,mDOI,mPOC,mPOI,mas,mid,min_rmse
24,5vvjswl220201208,0.2,0.6,0.2,0.2,False,0.9,0.3,0,1.5,0.3,1.0,1.0,0.524,0.6940000000000001,0.386,0.322,3.6,1289.0,0.3434931270390249
25,60a2h15h20201105,0.2,0.6,0.6,0.6,False,0.85,0.5,0,1.5,0.3,0.5,1.0,0.526,0.626,0.426,0.36200000000000004,3.6,1286.0,0.5030089885522757
26,70on3oc120200214,0.8,0.4,0.4,0.6,True,1.0,0.55,0,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.4320627508622118
27,7c7ybket20200127,0.6,0.4,0.8,0.4,True,1.0,0.55,0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,1284.0,0.47745365103055354
28,7t97zebw20200211,1.0,0.8,0.8,0.6,True,0.95,0.8,0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,1284.0,0.4259451543023052
29,85kcpq4820200308,0.75,1.0,1.0,0.4,True,1.0,0.7777777777777778,2,1.5,0.9,2.0,1.0,0.578,0.8220000000000001,0.478,0.218,3.6,1439.0,0.5241845310627082
30,8g0oakbb20200214,0.6,0.8,0.6,0.6,True,0.75,0.65,0,1.5,0.3,0.5,0.7,0.56,0.6459999999999999,0.43,0.41200000000000003,3.2,1261.0,0.23137230745924792
31,8s6t5xb720200129,0.8,0.3333333333333333,0.8,0.75,True,0.7058823529411765,0.7058823529411765,3,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.6348399844154782
32,8xrzkbzl20201113,0.2,0.4,0.0,0.0,False,1.0,0.15,0,1.5,0.3,1.0,1.0,0.524,0.6940000000000001,0.386,0.322,3.6,1289.0,0.3815781322306252
33,90za526r20200217,1.0,1.0,0.4,0.6,True,1.0,0.75,0,0.5,0.9,0.5,0.5,0.732,0.8420000000000001,0.28,0.23199999999999998,2.8,672.0,0.40595490744982243
34,97b1s46u20201106,1.0,0.8,0.8,1.0,False,0.95,0.9,0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,1284.0,0.6228651319895717
35,9psntbym20201207,0.8,0.6,0.0,0.4,False,0.9,0.45,0,0.75,0.7,0.5,0.7,0.652,0.6659999999999999,0.342,0.322,2.8,876.0,0.483101374704874
36,9q080hvl20201204,1.0,1.0,0.6,0.6,False,0.9,0.8,0,0.75,0.9,0.5,0.9,0.6920000000000001,0.754,0.38,0.32,2.8,936.0,0.3177982339768398
37,ac6pz6rt20201102,0.0,0.6,0.0,0.2,False,1.0,0.2222222222222222,2,1.5,0.3,1.0,1.0,0.524,0.6940000000000001,0.386,0.322,3.6,1289.0,0.62744155198669
38,ackgo30v20200227,0.8,1.0,1.0,1.0,True,1.0,0.95,0,1.5,0.3,0.5,0.7,0.56,0.6459999999999999,0.43,0.41200000000000003,3.2,1261.0,0.6378619913062854
39,aherzvzb20201106,0.4,0.4,0.2,0.4,False,1.0,0.35,0,1.5,0.7,0.5,0.5,0.546,0.616,0.39799999999999996,0.402,3.2,1345.0,0.2926323383233703
40,ak018tef20201118,0.8,1.0,0.8,1.0,False,0.85,0.9,0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,1212.0,0.5845763115737705
41,am6ox9ao20201114,1.0,0.4,0.4,0.6,False,0.95,0.6,0,1.5,0.5,0.5,0.7,0.614,0.598,0.40399999999999997,0.374,3.2,1309.0,0.6070994764535623
42,awveeytc20201103,1.0,1.0,1.0,0.8,False,0.65,0.95,0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,1284.0,0.51700962939736
43,b9zlolfy20200115,0.6,1.0,0.8,0.5,True,0.9444444444444444,0.7222222222222222,2,1.5,0.9,2.0,1.0,0.578,0.8220000000000001,0.478,0.218,3.6,1439.0,0.3811962645694437
44,bdhboees20201112,1.0,1.0,1.0,0.8,False,0.9411764705882352,0.9411764705882352,3,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,1284.0,0.51700962939736
45,bjmjt11l20200129,0.0,0.0,0.0,0.0,True,1.0,0.0,10,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.595914308837293
46,blhofw6920201105,1.0,1.0,0.4,0.6,False,0.95,0.75,0,0.5,0.9,0.5,0.5,0.732,0.8420000000000001,0.28,0.23199999999999998,2.8,672.0,0.40595490744982243
47,bnlv90xh20201104,1.0,0.6,0.8,0.8,False,1.0,0.8,0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,1284.0,0.5808935807284472
