,ans,bll,lf,rmse,DOC,DOI,POC,POI
97,0.75,0.9,0.5,0.06793379129711517,0.6379999999999998,0.642,0.37199999999999994,0.35200000000000004
98,0.75,0.9,0.7,0.06688547425761941,0.626,0.6540000000000002,0.392,0.3559999999999999
99,0.75,0.9,0.9,0.08430895563343198,0.6360000000000001,0.6879999999999998,0.3520000000000001,0.32600000000000007
100,1.0,0.1,0.1,0.035023801430836526,0.606,0.6160000000000001,0.35400000000000015,0.38600000000000023
101,1.0,0.1,0.3,0.0628437215108505,0.64,0.624,0.3740000000000001,0.368
102,1.0,0.1,0.5,0.043867223907301606,0.598,0.6360000000000001,0.39000000000000007,0.38
103,1.0,0.1,0.7,0.07123669466410318,0.584,0.6160000000000001,0.43000000000000016,0.36800000000000005
104,1.0,0.1,0.9,0.057503623074260865,0.588,0.5980000000000001,0.37799999999999995,0.35
105,1.0,0.3,0.1,0.05999166608788258,0.618,0.6420000000000001,0.434,0.3939999999999999
106,1.0,0.3,0.3,0.030049958402633442,0.5839999999999999,0.6319999999999999,0.34800000000000003,0.37599999999999995
107,1.0,0.3,0.5,0.05176871642217914,0.614,0.618,0.384,0.37400000000000005
108,1.0,0.3,0.7,0.0857846140050767,0.6060000000000001,0.5820000000000001,0.386,0.322
109,1.0,0.3,0.9,0.047328638264796934,0.642,0.628,0.37599999999999995,0.40400000000000014
110,1.0,0.5,0.1,0.021571586249817917,0.596,0.6220000000000002,0.38199999999999995,0.41400000000000003
111,1.0,0.5,0.3,0.05843514923970561,0.628,0.626,0.4120000000000001,0.3879999999999999
112,1.0,0.5,0.5,0.06674578638386097,0.6400000000000001,0.606,0.4120000000000001,0.39399999999999996
113,1.0,0.5,0.7,0.04091047135718026,0.584,0.5920000000000002,0.39199999999999996,0.396
114,1.0,0.5,0.9,0.04941322360124532,0.6059999999999999,0.6460000000000001,0.3740000000000002,0.3660000000000001
115,1.0,0.7,0.1,0.05338226921616078,0.62,0.602,0.41600000000000015,0.41400000000000003
116,1.0,0.7,0.3,0.03535062469980788,0.5980000000000001,0.6140000000000001,0.3780000000000001,0.3900000000000001
117,1.0,0.7,0.5,0.03827967258654825,0.5880000000000001,0.6,0.38,0.386
118,1.0,0.7,0.7,0.08308429454475738,0.6580000000000001,0.6239999999999997,0.4000000000000001,0.358
119,1.0,0.7,0.9,0.05001333155602948,0.6180000000000001,0.62,0.3939999999999999,0.38599999999999995
120,1.0,0.9,0.1,0.03358571124749333,0.598,0.59,0.3620000000000001,0.42399999999999993
121,1.0,0.9,0.3,0.07955920227520301,0.5740000000000003,0.5620000000000002,0.43999999999999984,0.3879999999999999
122,1.0,0.9,0.5,0.0580689245638319,0.616,0.63,0.38800000000000007,0.364
123,1.0,0.9,0.7,0.05348208422764893,0.6119999999999999,0.6100000000000001,0.37,0.364
124,1.0,0.9,0.9,0.0804259493778801,0.648,0.638,0.41199999999999987,0.3579999999999999
125,1.5,0.1,0.1,0.05010655313096946,0.5620000000000003,0.5819999999999999,0.428,0.4539999999999999
126,1.5,0.1,0.3,0.05091168824543142,0.5800000000000001,0.6060000000000001,0.44800000000000006,0.44799999999999995
127,1.5,0.1,0.5,0.038074488396650404,0.5660000000000001,0.5899999999999999,0.40399999999999997,0.4159999999999999
128,1.5,0.1,0.7,0.06712177987310329,0.5419999999999998,0.5779999999999998,0.43,0.38799999999999996
129,1.5,0.1,0.9,0.039314967463634845,0.58,0.5939999999999999,0.4100000000000001,0.42400000000000015
130,1.5,0.3,0.1,0.05280467151051442,0.592,0.588,0.42800000000000005,0.428
131,1.5,0.3,0.3,0.06296295206971583,0.6079999999999999,0.586,0.42599999999999993,0.408
132,1.5,0.3,0.5,0.07287660804400818,0.604,0.6080000000000001,0.4480000000000001,0.3920000000000001
133,1.5,0.3,0.7,0.05687413002997643,0.588,0.5800000000000002,0.4040000000000001,0.386
134,1.5,0.3,0.9,0.07189807600578288,0.584,0.57,0.44999999999999996,0.426
135,1.5,0.5,0.1,0.03907684736515984,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.45600000000000007
136,1.5,0.5,0.3,0.059899916527487745,0.59,0.5820000000000001,0.418,0.39599999999999996
137,1.5,0.5,0.5,0.07839430251406453,0.56,0.572,0.4579999999999999,0.41
138,1.5,0.5,0.7,0.056133768802744746,0.5660000000000003,0.5940000000000001,0.424,0.396
139,1.5,0.5,0.9,0.08154548832809003,0.586,0.5740000000000001,0.4760000000000001,0.44000000000000006
140,1.5,0.7,0.1,0.08092177292504986,0.5980000000000002,0.5580000000000002,0.452,0.428
141,1.5,0.7,0.3,0.05483611948342078,0.6279999999999999,0.644,0.4340000000000002,0.406
142,1.5,0.7,0.5,0.03961901900182117,0.552,0.5760000000000002,0.39599999999999996,0.44799999999999995
143,1.5,0.7,0.7,0.07335757175188756,0.564,0.546,0.4400000000000002,0.4520000000000001
144,1.5,0.7,0.9,0.054126395286095544,0.5840000000000001,0.5559999999999999,0.39199999999999996,0.41999999999999993
145,1.5,0.9,0.1,0.07599342076785331,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001
146,1.5,0.9,0.3,0.08370782520170979,0.6259999999999999,0.5599999999999999,0.41400000000000003,0.38800000000000007
147,1.5,0.9,0.5,0.04873055167619865,0.5539999999999999,0.5479999999999999,0.3839999999999999,0.43199999999999994
148,1.5,0.9,0.7,0.07648311360468182,0.578,0.5800000000000003,0.42400000000000004,0.36199999999999993
149,1.5,0.9,0.9,0.06185197382999727,0.6040000000000002,0.58,0.41000000000000014,0.3939999999999999
