,subjID,AC,AI,PC,PI,mid,ans,bll,lf,mAC,mAI,mPC,mPI,rmse
37,49,0.833,0.833,0.833,0.667,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.08154548832809003
38,50,1.0,1.0,0.667,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
39,51,1.0,1.0,0.545,0.5,73.0,0.5,0.9,0.7,0.7479999999999998,0.7299999999999999,0.326,0.2800000000000001,0.15190018652610887
40,52,0.917,1.0,0.75,0.667,105.0,1.0,0.3,0.1,0.618,0.6420000000000001,0.434,0.3939999999999999,0.059991666087882575
41,53,0.0,0.33299999999999996,0.0,0.0,106.0,1.0,0.3,0.3,0.5839999999999999,0.6319999999999999,0.34800000000000003,0.376,0.03004995840263344
42,55,0.25,0.667,0.0,0.16699999999999998,63.0,0.5,0.5,0.7,0.6679999999999999,0.7020000000000001,0.25799999999999995,0.28,0.12412493705939995
43,58,1.0,1.0,0.833,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
44,59,0.25,0.33299999999999996,0.083,0.0,104.0,1.0,0.1,0.9,0.588,0.5980000000000001,0.378,0.35,0.05750362307426087
45,61,1.0,1.0,1.0,0.833,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.08154548832809003
46,63,1.0,1.0,0.75,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
47,64,0.583,0.833,0.16699999999999998,0.667,120.0,1.0,0.9,0.1,0.598,0.59,0.3620000000000001,0.4239999999999999,0.03358571124749333
48,66,1.0,1.0,0.9,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
49,67,1.0,1.0,0.5,0.667,68.0,0.5,0.7,0.7,0.73,0.728,0.29799999999999993,0.3200000000000001,0.1295800910634037
50,68,1.0,0.667,0.0,0.0,33.0,0.25,0.3,0.7,0.8879999999999995,0.8439999999999995,0.132,0.124,0.3149333262771662
51,69,1.0,1.0,0.833,0.833,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
52,70,0.667,0.833,0.75,0.33299999999999996,103.0,1.0,0.1,0.7,0.584,0.6160000000000001,0.43000000000000016,0.3680000000000001,0.07123669466410318
53,73,1.0,0.833,1.0,1.0,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.08154548832809003
54,74,1.0,1.0,0.833,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
55,75,1.0,1.0,0.917,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
56,76,0.75,0.833,0.16699999999999998,0.33299999999999996,58.0,0.5,0.3,0.7,0.7220000000000002,0.7300000000000003,0.242,0.2960000000000001,0.14753982513206393
57,77,0.917,1.0,0.833,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
58,78,0.917,1.0,0.909,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
59,79,0.833,0.833,0.75,0.667,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.08154548832809003
60,81,1.0,1.0,0.917,0.833,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.08154548832809003
61,82,1.0,1.0,0.917,0.833,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.08154548832809003
62,83,0.667,0.5,0.16699999999999998,0.5,120.0,1.0,0.9,0.1,0.598,0.59,0.3620000000000001,0.4239999999999999,0.03358571124749333
63,84,0.75,0.833,0.41700000000000004,0.4,66.0,0.5,0.7,0.3,0.6520000000000004,0.7260000000000001,0.318,0.284,0.11958400115957545
64,86,1.0,1.0,0.917,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
65,87,1.0,1.0,0.833,0.667,124.0,1.0,0.9,0.9,0.648,0.638,0.4119999999999999,0.3579999999999999,0.0804259493778801
66,88,0.5,0.833,1.0,0.8,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.07599342076785331
67,89,0.917,1.0,0.833,0.833,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
68,90,1.0,0.833,0.917,1.0,143.0,1.5,0.7,0.7,0.564,0.546,0.4400000000000002,0.4520000000000001,0.07335757175188756
69,91,1.0,1.0,0.833,0.833,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.03907684736515984
