,ans,bll,lf,mas,ga,rmse,DOC,DOI,POC,POI
120,0.1,0.5,0.9,2.8,0.5,0.9338276440416329,0.996,0.998,0.004,0.0
121,0.1,0.5,0.9,3.2,0.5,0.9316244197965495,0.9859999999999998,1.0,0.002,0.0
122,0.1,0.5,0.9,3.6,0.5,0.9320539151694823,0.9899999999999999,1.0,0.004,0.0
123,0.1,0.5,0.9,2.8,1.0,0.9305757027691564,0.9919999999999999,1.0,0.008,0.0
124,0.1,0.5,0.9,3.2,1.0,0.9328472797786997,0.992,1.0,0.004,0.0
125,0.1,0.5,0.9,3.6,1.0,0.9310485528158727,0.996,1.0,0.01,0.0
126,0.1,0.5,0.9,2.8,1.5,0.9294464412793979,0.9919999999999999,1.0,0.01,0.0
127,0.1,0.5,0.9,3.2,1.5,0.9289931874506716,0.9879999999999999,1.0,0.008,0.0
128,0.1,0.5,0.9,3.6,1.5,0.9375440059913469,0.998,1.0,0.0,0.0
129,0.1,0.5,0.9,2.8,2.0,0.9297820280688758,0.9899999999999999,1.0,0.008,0.0
130,0.1,0.5,0.9,3.2,2.0,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
131,0.1,0.5,0.9,3.6,2.0,0.9321774999017848,0.996,1.0,0.008,0.0
132,0.1,0.5,1.0,2.8,0.5,0.9320539151694823,0.9899999999999999,1.0,0.004,0.0
133,0.1,0.5,1.0,3.2,0.5,0.9347875719310585,0.9939999999999999,1.0,0.002,0.0
134,0.1,0.5,1.0,3.6,0.5,0.9336454533198099,0.9939999999999999,1.0,0.004,0.0
135,0.1,0.5,1.0,2.8,1.0,0.9305757027691565,0.992,1.0,0.008,0.0
136,0.1,0.5,1.0,3.2,1.0,0.9363979399228143,0.998,1.0,0.002,0.0
137,0.1,0.5,1.0,3.6,1.0,0.9301271052295286,0.9879999999999999,1.0,0.006000000000000001,0.0
138,0.1,0.5,1.0,2.8,1.5,0.9305757027691564,0.9919999999999999,1.0,0.008,0.0
139,0.1,0.5,1.0,3.2,1.5,0.9347875719310585,0.9940000000000001,1.0,0.002,0.0
140,0.1,0.5,1.0,3.6,1.5,0.9337984697259392,1.0,1.0,0.008,0.0
141,0.1,0.5,1.0,2.8,2.0,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
142,0.1,0.5,1.0,3.2,2.0,0.9347875719310585,0.9939999999999999,1.0,0.002,0.0
143,0.1,0.5,1.0,3.6,2.0,0.9275275834282564,0.9899999999999999,1.0,0.012,0.0
144,0.1,0.7,0.5,2.8,0.5,0.9325076570456132,0.9939999999999999,1.0,0.006000000000000001,0.0
145,0.1,0.7,0.5,3.2,0.5,0.9336454533198099,0.9940000000000001,1.0,0.004,0.0
146,0.1,0.7,0.5,3.6,0.5,0.934118719693167,0.998,1.0,0.006000000000000001,0.0
147,0.1,0.7,0.5,2.8,1.0,0.9352561729025655,0.998,1.0,0.004,0.0
148,0.1,0.7,0.5,3.2,1.0,0.9325076570456132,0.9939999999999999,1.0,0.006000000000000001,0.0
