,subjID,DOC,DOI,POC,POI,mid,ans,bll,lf,mDOC,mDOI,mPOC,mPOI,rmse
23,5vahoc0o20200127,1.0,0.4,0.6,0.75,140.0,1.5,0.7,0.1,0.5980000000000002,0.5580000000000002,0.452,0.428,0.3403037306630544
24,5vvjswl220201208,0.2,0.6,0.2,0.2,106.0,1.0,0.3,0.3,0.5839999999999999,0.6319999999999999,0.34800000000000003,0.376,0.3085369419404642
25,60a2h15h20201105,0.2,0.6,0.6,0.6,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.3416755616806365
26,70on3oc120200214,0.8,0.4,0.4,0.6,146.0,1.5,0.9,0.3,0.6259999999999999,0.5599999999999999,0.414,0.3880000000000001,0.3541500556317963
27,7c7ybket20200127,0.6,0.4,0.8,0.4,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
28,7t97zebw20200211,1.0,0.8,0.8,0.6,146.0,1.5,0.9,0.3,0.6259999999999999,0.5599999999999999,0.414,0.3880000000000001,0.3541500556317963
29,85kcpq4820200308,0.75,1.0,1.0,0.4,103.0,1.0,0.1,0.7,0.584,0.6160000000000001,0.43000000000000016,0.3680000000000001,0.3378337689166162
30,8g0oakbb20200214,0.6,0.8,0.6,0.6,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.2753796192490291
31,8s6t5xb720200129,0.8,0.33299999999999996,0.8,0.75,140.0,1.5,0.7,0.1,0.5980000000000002,0.5580000000000002,0.452,0.428,0.3403037306630544
32,8xrzkbzl20201113,0.2,0.4,0.0,0.0,106.0,1.0,0.3,0.3,0.5839999999999999,0.6319999999999999,0.34800000000000003,0.376,0.3085369419404642
33,90za526r20200217,1.0,1.0,0.4,0.6,58.0,0.5,0.3,0.7,0.7220000000000002,0.7300000000000003,0.242,0.2960000000000001,0.4413526907455356
34,97b1s46u20201106,1.0,0.8,0.8,1.0,143.0,1.5,0.7,0.7,0.564,0.546,0.4400000000000002,0.4520000000000001,0.3413389143860343
35,9psntbym20201207,0.8,0.6,0.0,0.4,58.0,0.5,0.3,0.7,0.7220000000000002,0.7300000000000003,0.242,0.2960000000000001,0.4413526907455356
36,9q080hvl20201204,1.0,1.0,0.6,0.6,74.0,0.5,0.9,0.9,0.726,0.738,0.3120000000000001,0.3120000000000001,0.3953536032389593
37,ac6pz6rt20201102,0.0,0.6,0.0,0.2,106.0,1.0,0.3,0.3,0.5839999999999999,0.6319999999999999,0.34800000000000003,0.376,0.3085369419404642
38,ackgo30v20200227,0.8,1.0,1.0,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.2753796192490291
39,aherzvzb20201106,0.4,0.4,0.2,0.4,147.0,1.5,0.9,0.5,0.5539999999999999,0.5479999999999999,0.3839999999999999,0.432,0.3341425346061381
40,ak018tef20201118,0.8,1.0,0.8,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.2753796192490291
41,am6ox9ao20201114,1.0,0.4,0.4,0.6,146.0,1.5,0.9,0.3,0.6259999999999999,0.5599999999999999,0.414,0.3880000000000001,0.3541500556317963
42,awveeytc20201103,1.0,1.0,1.0,0.8,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
43,b9zlolfy20200115,0.6,1.0,0.8,0.5,105.0,1.0,0.3,0.1,0.618,0.6420000000000001,0.434,0.3939999999999999,0.3033124420195732
44,bdhboees20201112,1.0,1.0,1.0,0.8,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
45,bjmjt11l20200129,0.0,0.0,0.0,0.0,143.0,1.5,0.7,0.7,0.564,0.546,0.4400000000000002,0.4520000000000001,0.3413389143860343
