,subjID,DOC,DOI,POC,POI,mid,alpha,egs,mDOC,mDOI,mPOC,mPOI,r1,r2,rmse
116,s1somgf720200211,0.4,0.4,0.2,0.0,485.0,0.5,0.9,0.5080000000000001,0.5039999999999999,0.488,0.456,0.5,0.0,0.4053871584097461
117,s55aohfe20200128,0.33299999999999996,0.4,0.0,0.4,99.0,0.1,0.5,0.638,0.5119999999999999,0.3220000000000001,0.5159999999999999,5.0,-0.5,0.40867049737474
118,svolj44520201207,1.0,1.0,0.6,1.0,635.0,0.7,0.5,0.6719999999999999,0.492,0.31,0.5640000000000002,1.0,0.0,0.4532308106079447
119,sw68ajzc20200213,1.0,1.0,0.2,0.4,358.0,0.3,1.3,0.8199999999999996,0.5219999999999999,0.14999999999999994,0.5,10.0,-0.1,0.5910580804329157
120,t7dcx8xl20201203,1.0,0.75,1.0,1.0,169.0,0.1,1.3,0.5760000000000001,0.3979999999999999,0.4919999999999998,0.5720000000000001,5.0,-5.0,0.48925794079924895
121,t9cdwyon20200113,1.0,1.0,0.8,0.6,172.0,0.1,1.3,0.5980000000000001,0.514,0.46799999999999997,0.494,5.0,-0.1,0.3667591903906524
122,tkmy795t20200211,1.0,1.0,0.8,0.8,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
123,ucnl2x7f20200212,1.0,1.0,0.8,0.8,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
124,utt2nnyo20200113,0.6,0.8,0.4,0.4,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
125,uy7f303a20201124,1.0,0.8,0.4,0.2,142.0,0.1,0.9,0.6580000000000003,0.4900000000000001,0.3440000000000001,0.4640000000000001,10.0,-0.1,0.4175774834883513
126,vbv8ea3920201207,1.0,1.0,0.8,0.8,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
127,vd9r5nk020201111,1.0,0.33299999999999996,0.75,1.0,348.0,0.3,1.3,0.6679999999999999,0.162,0.35600000000000004,0.8259999999999996,5.0,-10.0,0.8595693786850955
128,vmm0jyvv20200217,0.8,1.0,0.2,0.2,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
129,vomf13pu20200214,0.0,0.25,0.667,0.5,761.0,0.9,0.1,0.348,0.378,0.632,0.6380000000000002,0.0,0.0,0.6333857944205129
130,w0wujzqz20201208,0.8,0.6,0.8,0.0,111.0,0.1,0.9,0.5459999999999998,0.4940000000000001,0.492,0.474,0.0,-0.5,0.399999193568698
131,x2qq61ea20200129,1.0,1.0,0.6,0.8,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
132,x9y7eeqv20201103,0.0,0.2,0.0,0.2,76.0,0.1,0.5,0.47,0.508,0.4440000000000001,0.5559999999999999,0.0,-0.1,0.4180157999630959
133,xgy75o3f20201206,0.75,0.75,0.75,1.0,441.0,0.5,0.5,0.5059999999999999,0.414,0.514,0.64,0.1,-0.5,0.5042501174693323
134,y5qncmp920200228,0.6,1.0,0.6,0.2,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
135,y8u8ss9t20201107,0.75,0.667,0.667,1.0,878.0,0.9,1.3,0.5219999999999999,0.3800000000000001,0.462,0.6779999999999998,0.5,-1.0,0.5474415773971056
136,ygepr20b20201121,1.0,1.0,1.0,1.0,868.0,0.9,1.3,0.5120000000000001,0.518,0.514,0.5320000000000003,0.0,-0.1,0.3945320884413488
137,yr4btkgb20201126,0.8,1.0,0.4,0.6,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
138,za0p1wmj20201115,1.0,1.0,1.0,0.8,694.0,0.7,1.3,0.504,0.4919999999999999,0.54,0.5000000000000001,0.1,-0.1,0.4284646830099411
139,zalhzd5l20201120,1.0,1.0,1.0,1.0,868.0,0.9,1.3,0.5120000000000001,0.518,0.514,0.5320000000000003,0.0,-0.1,0.3945320884413488
140,zes08nnl20201116,0.75,0.5,1.0,0.8,581.0,0.7,0.1,0.4260000000000001,0.38,0.634,0.6099999999999999,0.0,0.0,0.5865097552868868
