,alpha,egs,r1,r2,rmse,DOC,DOI,POC,POI
518,0.5,1.3,0.5,-1.0,0.5076247581202789,0.5299999999999999,0.39,0.4779999999999998,0.6
519,0.5,1.3,0.5,-0.5,0.39653109359013,0.5680000000000001,0.4920000000000001,0.47400000000000003,0.5680000000000001
520,0.5,1.3,0.5,-0.1,0.39999237271100396,0.5219999999999999,0.49399999999999994,0.47600000000000003,0.516
521,0.5,1.3,0.5,0.0,0.40971250381927937,0.5359999999999999,0.47200000000000003,0.444,0.48
522,0.5,1.3,1.0,-10.0,0.9991539500050898,0.562,0.05800000000000002,0.424,0.9399999999999997
523,0.5,1.3,1.0,-5.0,0.7453866566508494,0.5780000000000001,0.2219999999999999,0.43799999999999994,0.778
524,0.5,1.3,1.0,-1.0,0.4829325218146539,0.5359999999999999,0.41600000000000004,0.4100000000000001,0.5840000000000001
525,0.5,1.3,1.0,-0.5,0.42364202776014764,0.528,0.462,0.426,0.5239999999999999
526,0.5,1.3,1.0,-0.1,0.39865269474631065,0.534,0.49199999999999994,0.45400000000000007,0.54
527,0.5,1.3,1.0,0.0,0.39652758713157543,0.596,0.48200000000000015,0.42,0.498
528,0.5,1.3,5.0,-10.0,1.1106734683200068,0.7799999999999998,0.058000000000000024,0.2119999999999999,0.9439999999999995
529,0.5,1.3,5.0,-5.0,0.8828483589849035,0.7719999999999998,0.22000000000000003,0.21400000000000002,0.81
530,0.5,1.3,5.0,-1.0,0.5870261789973252,0.76,0.45399999999999996,0.21799999999999994,0.612
531,0.5,1.3,5.0,-0.5,0.5742787858717426,0.8299999999999998,0.4679999999999999,0.24799999999999997,0.5739999999999998
532,0.5,1.3,5.0,-0.1,0.5556734070470033,0.802,0.5020000000000001,0.19999999999999996,0.488
533,0.5,1.3,5.0,0.0,0.5627605967024287,0.8,0.48999999999999994,0.206,0.5220000000000001
534,0.5,1.3,10.0,-10.0,1.2315010707097773,0.9299999999999996,0.05000000000000002,0.08800000000000002,0.9339999999999996
535,0.5,1.3,10.0,-5.0,1.0448302726538357,0.9359999999999995,0.2179999999999999,0.05,0.7959999999999999
536,0.5,1.3,10.0,-1.0,0.7898907498776804,0.9379999999999995,0.4340000000000001,0.07000000000000002,0.578
537,0.5,1.3,10.0,-0.5,0.7832995202868888,0.9439999999999996,0.45,0.05400000000000001,0.5039999999999999
538,0.5,1.3,10.0,-0.1,0.7575701293291783,0.9319999999999996,0.45000000000000007,0.07600000000000003,0.48999999999999994
539,0.5,1.3,10.0,0.0,0.7346279946385346,0.9339999999999995,0.5060000000000001,0.06600000000000002,0.5200000000000001
540,0.7,0.01,0.0,-10.0,1.3505457948896948,0.006000000000000001,0.0,0.998,1.0
541,0.7,0.01,0.0,-5.0,1.3496350537528405,0.006000000000000001,0.0,0.996,1.0
542,0.7,0.01,0.0,-1.0,1.3519582160455688,0.002,0.0,0.996,1.0
543,0.7,0.01,0.0,-0.5,1.3496350537528405,0.006000000000000001,0.0,0.996,1.0
544,0.7,0.01,0.0,-0.1,1.3496350537528405,0.006000000000000001,0.0,0.996,1.0
545,0.7,0.01,0.0,0.0,1.3420190479257017,0.002,0.006000000000000001,0.986,0.996
546,0.7,0.01,0.1,-10.0,1.08600955971735,0.4759999999999999,0.0,0.47,1.0
547,0.7,0.01,0.1,-5.0,1.0834868834376588,0.5340000000000001,0.0,0.46999999999999986,1.0
548,0.7,0.01,0.1,-1.0,1.084565011674811,0.484,0.0,0.47600000000000003,1.0
549,0.7,0.01,0.1,-0.5,1.0783993467662762,0.5180000000000002,0.0,0.512,1.0
550,0.7,0.01,0.1,-0.1,1.078549133582965,0.514,0.0,0.5119999999999999,1.0
551,0.7,0.01,0.1,0.0,1.0702014413710352,0.508,0.006000000000000001,0.504,0.9939999999999999
552,0.7,0.01,0.5,-10.0,1.394646564919659,1.0,0.0,0.0,1.0
553,0.7,0.01,0.5,-5.0,1.394646564919659,1.0,0.0,0.0,1.0
554,0.7,0.01,0.5,-1.0,1.394646564919659,1.0,0.0,0.0,1.0
555,0.7,0.01,0.5,-0.5,1.394646564919659,1.0,0.0,0.0,1.0
556,0.7,0.01,0.5,-0.1,1.394646564919659,1.0,0.0,0.0,1.0
557,0.7,0.01,0.5,0.0,1.39010967062408,1.0,0.004,0.0,0.998
558,0.7,0.01,1.0,-10.0,1.394646564919659,1.0,0.0,0.0,1.0
559,0.7,0.01,1.0,-5.0,1.394646564919659,1.0,0.0,0.0,1.0
560,0.7,0.01,1.0,-1.0,1.394646564919659,1.0,0.0,0.0,1.0
561,0.7,0.01,1.0,-0.5,1.394646564919659,1.0,0.0,0.0,1.0
562,0.7,0.01,1.0,-0.1,1.394646564919659,1.0,0.0,0.0,1.0
563,0.7,0.01,1.0,0.0,1.38387235343185,1.0,0.01,0.0,0.996
564,0.7,0.01,5.0,-10.0,1.394646564919659,1.0,0.0,0.0,1.0
565,0.7,0.01,5.0,-5.0,1.394646564919659,1.0,0.0,0.0,1.0
566,0.7,0.01,5.0,-1.0,1.394646564919659,1.0,0.0,0.0,1.0
567,0.7,0.01,5.0,-0.5,1.394646564919659,1.0,0.0,0.0,1.0
568,0.7,0.01,5.0,-0.1,1.394646564919659,1.0,0.0,0.0,1.0
569,0.7,0.01,5.0,0.0,1.3822486490018275,1.0,0.008,0.0,0.99
570,0.7,0.01,10.0,-10.0,1.394646564919659,1.0,0.0,0.0,1.0
571,0.7,0.01,10.0,-5.0,1.394646564919659,1.0,0.0,0.0,1.0
572,0.7,0.01,10.0,-1.0,1.394646564919659,1.0,0.0,0.0,1.0
573,0.7,0.01,10.0,-0.5,1.394646564919659,1.0,0.0,0.0,1.0
