,subjID,AC,AI,PC,PI,mid,alpha,egs,mAC,mAI,mPC,mPI,r1,r2,rmse
20,27,1.0,1.0,0.909,1.0,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
21,28,0.833,0.833,0.727,0.667,172.0,0.1,1.3,0.5980000000000001,0.514,0.46799999999999997,0.494,5.0,-0.1,0.3667591903906524
22,30,0.75,0.667,0.41700000000000004,0.5,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
23,31,0.33299999999999996,0.75,0.8,1.0,761.0,0.9,0.1,0.348,0.378,0.632,0.6380000000000002,0.0,0.0,0.6333857944205129
24,32,0.917,0.833,0.833,1.0,308.0,0.3,0.9,0.586,0.4820000000000001,0.4560000000000001,0.5920000000000001,1.0,-1.0,0.4102399475699954
25,33,0.917,1.0,1.0,1.0,81.0,0.1,0.5,0.4579999999999999,0.54,0.5040000000000001,0.5319999999999999,0.1,-0.5,0.40999692802017457
26,35,0.917,1.0,0.75,0.833,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
27,36,1.0,1.0,0.833,1.0,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
28,38,0.5,0.833,0.083,0.2,179.0,0.1,1.3,0.6140000000000001,0.5359999999999999,0.3800000000000001,0.5059999999999999,10.0,0.0,0.35434478776360473
29,39,1.0,1.0,0.667,0.833,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
30,40,1.0,1.0,0.083,0.0,677.0,0.7,0.9,0.9239999999999996,0.5299999999999998,0.05600000000000002,0.4920000000000001,5.0,0.0,0.7205906193856464
31,41,0.833,0.6,0.5,0.6,143.0,0.1,0.9,0.6900000000000003,0.5000000000000001,0.362,0.5059999999999999,10.0,0.0,0.4136950808580097
32,42,0.583,0.5,0.16699999999999998,0.5,635.0,0.7,0.5,0.6719999999999999,0.492,0.31,0.5640000000000002,1.0,0.0,0.4532308106079447
33,43,0.583,0.5,0.583,0.6,116.0,0.1,0.9,0.542,0.4839999999999999,0.524,0.5720000000000001,0.1,-1.0,0.4161128023835341
34,44,0.917,1.0,0.75,0.833,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
35,46,1.0,1.0,0.5,0.833,635.0,0.7,0.5,0.6719999999999999,0.492,0.31,0.5640000000000002,1.0,0.0,0.4532308106079447
36,47,0.833,0.833,0.583,0.833,179.0,0.1,1.3,0.6140000000000001,0.5359999999999999,0.3800000000000001,0.5059999999999999,10.0,0.0,0.35434478776360473
37,49,0.833,0.833,0.833,0.667,694.0,0.7,1.3,0.504,0.4919999999999999,0.54,0.5000000000000001,0.1,-0.1,0.4284646830099411
38,50,1.0,1.0,0.667,1.0,635.0,0.7,0.5,0.6719999999999999,0.492,0.31,0.5640000000000002,1.0,0.0,0.4532308106079447
39,51,1.0,1.0,0.545,0.5,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
40,52,0.917,1.0,0.75,0.667,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
41,53,0.0,0.33299999999999996,0.0,0.0,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
42,55,0.25,0.667,0.0,0.16699999999999998,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
43,58,1.0,1.0,0.833,1.0,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
44,59,0.25,0.33299999999999996,0.083,0.0,113.0,0.1,0.9,0.464,0.46799999999999997,0.43799999999999983,0.4619999999999999,0.0,0.0,0.4337067054562348
45,61,1.0,1.0,1.0,0.833,694.0,0.7,1.3,0.504,0.4919999999999999,0.54,0.5000000000000001,0.1,-0.1,0.4284646830099411
46,63,1.0,1.0,0.75,1.0,179.0,0.1,1.3,0.6140000000000001,0.5359999999999999,0.3800000000000001,0.5059999999999999,10.0,0.0,0.35434478776360473
