subjID,C,I,A,P,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,prod_error_rate,bad_subj
15,0.7916666666666666,0.8333333333333334,0.9444444444444444,0.6666666666666666,0.9166666666666666,1,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0,0.027777777777777776,FALSE
16,0.9583333333333334,1,1,0.9444444444444444,1,1,0.9166666666666666,1,0.9166666666666666,0.9722222222222222,0,0,FALSE
17,0.4166666666666667,0.5833333333333334,0.8333333333333334,0.1111111111111111,0.75,1,0.08333333333333333,0.16666666666666666,0.8611111111111112,0.4722222222222222,0,0.5555555555555556,FALSE
18,1,1,1,1,1,1,1,1,0.6111111111111112,1,0,1,FALSE
19,0.14285714285714285,0.45454545454545453,0.375,0.125,0.18181818181818182,0.8,0.1,0.16666666666666666,0.8055555555555556,0.25,4,0.875,FALSE
20,0.9130434782608695,0.9166666666666666,0.8823529411764706,0.9444444444444444,0.9090909090909091,0.8333333333333334,0.9166666666666666,1,0.8888888888888888,0.9142857142857143,1,0.8888888888888888,FALSE
21,0.8333333333333334,1,1,0.7777777777777778,1,1,0.6666666666666666,1,0.9166666666666666,0.8888888888888888,0,0,FALSE
22,1,1,1,1,1,1,1,1,0.9166666666666666,1,0,0.027777777777777776,FALSE
23,0.7083333333333334,0.8333333333333334,0.8888888888888888,0.6111111111111112,0.8333333333333334,1,0.5833333333333334,0.6666666666666666,0.8888888888888888,0.75,0,0.4444444444444444,FALSE
24,0.75,0.9166666666666666,0.8888888888888888,0.7222222222222222,0.8333333333333334,1,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8055555555555556,0,0.4444444444444444,FALSE
25,0.9565217391304348,1,1,0.9444444444444444,1,1,0.9166666666666666,1,0.9722222222222222,0.9714285714285714,1,0.027777777777777776,FALSE
26,0.9565217391304348,1,1,0.9411764705882353,1,1,0.9090909090909091,1,0.75,0.9714285714285714,1,0.027777777777777776,FALSE
27,0.782608695652174,0.75,0.8333333333333334,0.7058823529411765,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.6666666666666666,0.8611111111111112,0.7714285714285715,1,0.25,FALSE
28,1,1,1,1,1,1,1,1,0.9444444444444444,1,0,0,FALSE
29,0.5833333333333334,0.5833333333333334,0.7222222222222222,0.4444444444444444,0.75,0.6666666666666666,0.4166666666666667,0.5,0.8333333333333334,0.5833333333333334,0,0,FALSE
30,0.5454545454545454,0.8,0.5,0.8333333333333334,0.3333333333333333,0.75,0.8,1,0.7777777777777778,0.625,20,0.5277777777777778,TRUE
31,0.875,0.9166666666666666,0.8888888888888888,0.8888888888888888,0.9166666666666666,0.8333333333333334,0.8333333333333334,1,1,0.8888888888888888,0,0,FALSE
