,surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries,ans,bll,lf,mDOC,mDOI,mPOC,mPOI,mid,min_rmse
49,bsd3r0g520200208,1.0,0.8,0.4,0.6,True,1.0,0.7,0,0.75,0.5,0.3,0.6940000000000001,0.662,0.342,0.386,86.0,0.34251620485526424
50,byybve5p20200301,0.75,0.75,0.8,0.4,True,0.8888888888888888,0.6666666666666666,2,1.5,0.3,0.5,0.604,0.608,0.44799999999999995,0.392,132.0,0.40308294939007727
51,cm9hz4em20200226,0.0,0.25,0.5,0.25,True,1.0,0.2857142857142857,6,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.606949415400983
52,ct0z9wus20201202,0.0,0.0,,0.0,False,1.0,0.0,17,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,100.0
53,d2xtpd3v20200213,1.0,1.0,0.4,0.6,True,0.85,0.75,0,0.5,0.3,0.7,0.722,0.73,0.242,0.29600000000000004,58.0,0.34662726253561393
54,dhnyqv2x20201111,0.6,0.5,0.4,0.0,False,0.9444444444444444,0.3888888888888889,2,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,71.0,0.37507400218339787
55,dkhfaswf20200127,0.6,0.6666666666666666,0.6,0.2,True,1.0,0.5,2,1.0,0.1,0.7,0.584,0.616,0.43,0.368,103.0,0.31947495521982494
56,dua9l90b20201126,1.0,0.6,0.8,0.2,False,0.9473684210526316,0.631578947368421,1,0.75,0.3,0.5,0.68,0.6459999999999999,0.376,0.32,82.0,0.6519090015881044
57,e8v50m3620201123,1.0,0.6,0.6,0.75,False,1.0,0.7368421052631579,1,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.49846548504464416
58,epegm9yj20201204,1.0,0.6,1.0,0.6,False,0.95,0.8,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.6587332318767698
59,ervf6ysh20201119,1.0,0.8,0.6,0.4,False,1.0,0.7,0,0.5,0.9,0.7,0.748,0.73,0.326,0.28,73.0,0.33787786112005147
60,etva11td20201113,1.0,1.0,0.4,0.4,False,0.95,0.7,0,0.25,0.3,0.5,0.866,0.86,0.14800000000000002,0.152,32.0,0.2669694180183712
61,eychrpxv20201114,1.0,1.0,0.8,1.0,False,1.0,0.95,0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,135.0,0.5424322379940621
62,f10pqxun20200128,0.8,0.8,0.4,0.2,True,1.0,0.55,0,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,71.0,0.16224665934944626
63,f5y8cohy20201116,0.0,0.6666666666666666,0.0,0.0,False,0.9411764705882352,0.1176470588235294,3,0.5,0.7,0.3,0.652,0.726,0.318,0.284,66.0,0.7348518287439194
64,f94kjs2s20201109,0.6666666666666666,0.5,1.0,0.5,False,0.8888888888888888,0.6666666666666666,11,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5972425407980664
65,fhtjasuy20200309,1.0,1.0,0.4,1.0,True,0.9,0.85,0,0.75,0.5,0.3,0.6940000000000001,0.662,0.342,0.386,86.0,0.7051235781575178
