,surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries,ans,bll,lf,mDOC,mDOI,mPOC,mPOI,mid,min_rmse
92,mjkg31a820201102,0.6,1.0,0.6,0.6,False,0.9444444444444444,0.6666666666666666,2,1.0,0.3,0.3,0.584,0.632,0.348,0.376,106.0,0.20559182863139286
93,mlw4ef5020200128,1.0,1.0,0.75,0.75,True,0.7333333333333333,0.8666666666666667,5,1.0,0.9,0.7,0.612,0.61,0.37,0.364,123.0,0.005033222956847169
94,mzbmhmq820201113,1.0,1.0,1.0,1.0,False,1.0,1.0,2,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.06415865750881429
95,n10np7qf20200307,0.8,1.0,0.8,1.0,True,0.95,0.9,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.15603845679831624
96,nll42gx020201125,0.6,1.0,0.8,0.2,False,0.95,0.65,0,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,71.0,0.37265533673892287
97,nmflx2le20200308,0.8,1.0,1.0,1.0,True,1.0,0.95,0,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.15929009176133127
98,nn8l7htm20200208,0.8,1.0,1.0,1.0,True,0.95,0.95,0,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.15929009176133127
99,nv62373d20200306,0.8,0.6,0.4,0.6,True,1.0,0.6,0,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,120.0,0.1365149564455607
100,o42peyga20200227,0.6666666666666666,0.75,0.75,1.0,True,0.9333333333333332,0.8,5,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.21448867879991554
101,o5v23rrz20200304,0.4,0.4,0.4,0.2,True,1.0,0.35,0,1.5,0.5,0.5,0.56,0.5720000000000001,0.45799999999999996,0.41,137.0,0.08994813320278897
102,o6eldlqz20200129,0.8,0.5,1.0,0.75,True,1.0,0.7647058823529411,3,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.28818339068493637
103,ob5p7xxa20201119,0.8,1.0,1.0,0.8,False,0.9,0.9,0,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.1546178083749303
104,ok6o9kx720200209,1.0,1.0,0.6,0.5,True,0.9444444444444444,0.7777777777777778,2,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,71.0,0.027784887978899626
105,p2achudm20201123,1.0,1.0,1.0,1.0,False,1.0,1.0,0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.06415865750881429
106,p93k4k4v20201204,0.4,0.4,0.6,0.2,False,1.0,0.4,0,1.5,0.5,0.5,0.56,0.5720000000000001,0.45799999999999996,0.41,137.0,0.21715739299718384
107,pglz36nx20200127,1.0,1.0,1.0,0.8,True,1.0,0.95,0,1.5,0.5,0.5,0.56,0.5720000000000001,0.45799999999999996,0.41,137.0,0.08994813320278897
108,pl59ybvr20201103,1.0,0.8,0.8,0.8,False,0.95,0.85,0,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.09503683496413377
109,plcd2fbz20200301,0.25,0.5,0.3333333333333333,0.5,True,1.0,0.38461538461538464,7,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.18071873173525757
110,pmqrpsua20200130,1.0,0.6,0.8,0.4,True,0.85,0.7,0,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.2895375623300024
111,pyb36j9a20200211,0.75,1.0,1.0,0.8,True,0.9473684210526316,0.8947368421052632,1,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.1805962347337286
112,q1pba6fp20201106,0.6,0.5,0.5,0.5,False,0.9333333333333332,0.5333333333333333,5,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.05873386303204198
113,qokbfd8720201125,0.6,0.6,0.4,0.6,False,1.0,0.55,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.08989623648036293
114,qv3wta5b20201118,1.0,1.0,1.0,1.0,False,1.0,1.0,0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.06415865750881429
115,r9lo90ts20200130,0.6666666666666666,1.0,0.6,1.0,True,0.9230769230769232,0.7692307692307693,7,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.2760351306144443
116,s1somgf720200211,0.4,0.4,0.2,0.0,True,0.9,0.25,0,0.75,0.3,0.5,0.68,0.6459999999999999,0.376,0.32,82.0,0.08586229284926727
117,s55aohfe20200128,0.3333333333333333,0.4,0.0,0.4,True,1.0,0.29411764705882354,3,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,120.0,0.20083208574992858
118,svolj44520201207,1.0,1.0,0.6,1.0,False,1.0,0.9,0,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,120.0,0.19519989754095673
119,sw68ajzc20200213,1.0,1.0,0.2,0.4,True,0.9,0.65,0,0.25,0.9,0.7,0.85,0.87,0.124,0.154,48.0,0.09956739760919067
120,t7dcx8xl20201203,1.0,0.75,1.0,1.0,False,0.9473684210526316,0.9473684210526316,1,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.1903715665043846
121,t9cdwyon20200113,1.0,1.0,0.8,0.6,True,0.95,0.85,0,0.75,0.3,0.5,0.68,0.6459999999999999,0.376,0.32,82.0,0.08586229284926727
122,tkmy795t20200211,1.0,1.0,0.8,0.8,True,1.0,0.9,0,1.0,0.5,0.7,0.584,0.5920000000000001,0.392,0.396,113.0,0.006218252702059212
123,ucnl2x7f20200212,1.0,1.0,0.8,0.8,True,1.0,0.9,0,1.0,0.5,0.7,0.584,0.5920000000000001,0.392,0.396,113.0,0.006218252702059212
124,utt2nnyo20200113,0.6,0.8,0.4,0.4,True,0.8,0.55,0,0.75,0.9,0.9,0.636,0.688,0.35200000000000004,0.326,99.0,0.08776673629570603
125,uy7f303a20201124,1.0,0.8,0.4,0.2,False,1.0,0.6,0,0.25,0.3,0.1,0.85,0.848,0.154,0.124,30.0,0.16350739025092006
126,vbv8ea3920201207,1.0,1.0,0.8,0.8,False,1.0,0.9,0,1.0,0.5,0.7,0.584,0.5920000000000001,0.392,0.396,113.0,0.006218252702059212
127,vd9r5nk020201111,1.0,0.3333333333333333,0.75,1.0,False,0.8125,0.8125,4,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.4389893620578977
128,vmm0jyvv20200217,0.8,1.0,0.2,0.2,True,0.95,0.55,0,0.25,0.7,0.1,0.8540000000000001,0.892,0.14800000000000002,0.122,40.0,0.09723511025687516
129,vomf13pu20200214,0.0,0.25,0.6666666666666666,0.5,True,1.0,0.4,10,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.3624476881795036
130,w0wujzqz20201208,0.8,0.6,0.8,0.0,False,0.9,0.55,0,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,71.0,0.4371940835220288
131,x2qq61ea20200129,1.0,1.0,0.6,0.8,True,0.875,0.8125,4,0.75,0.5,0.3,0.6940000000000001,0.662,0.342,0.386,86.0,0.09229662326795422
132,x9y7eeqv20201103,0.0,0.2,0.0,0.2,False,1.0,0.1,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.15603845679831624
133,xgy75o3f20201206,0.75,0.75,0.75,1.0,False,0.9285714285714286,0.7857142857142857,6,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.19241361698175105
134,y5qncmp920200228,0.6,1.0,0.6,0.2,True,0.9,0.6,0,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,71.0,0.28202600352922547
135,y8u8ss9t20201107,0.75,0.6666666666666666,0.6666666666666666,1.0,False,0.8461538461538461,0.7692307692307693,7,1.5,0.9,0.5,0.5539999999999999,0.5479999999999999,0.384,0.43200000000000005,147.0,0.23035869132000786
136,ygepr20b20201121,1.0,1.0,1.0,1.0,False,0.95,1.0,0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.06415865750881429
137,yr4btkgb20201126,0.8,1.0,0.4,0.6,False,0.9473684210526316,0.6842105263157895,1,0.5,0.5,0.7,0.6679999999999999,0.7020000000000001,0.258,0.28,63.0,0.14082613393827156
138,za0p1wmj20201115,1.0,1.0,1.0,0.8,False,0.95,0.95,0,1.5,0.5,0.5,0.56,0.5720000000000001,0.45799999999999996,0.41,137.0,0.08994813320278897
139,zalhzd5l20201120,1.0,1.0,1.0,1.0,False,0.95,1.0,0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.06415865750881429
140,zes08nnl20201116,0.75,0.5,1.0,0.8,False,0.9411764705882352,0.7647058823529411,3,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.2835189588016999
