mid,ans,bll,lf,DOC,DOI,POC,POI,DOC_sd,DOI_sd,POC_sd,POI_sd
79,0.75,0.1,0.9,0.628,0.642,0.326,0.34,0.153674982,0.135779233,0.15850552,0.126491106
80,0.75,0.3,0.1,0.632,0.676,0.372,0.336,0.160549058,0.156920362,0.158795466,0.141081537
81,0.75,0.3,0.3,0.63,0.642,0.374,0.348,0.15132746,0.138693908,0.139728308,0.144554488
82,0.75,0.3,0.5,0.68,0.646,0.376,0.32,0.12328828,0.134476764,0.139370011,0.137113092
83,0.75,0.3,0.7,0.692,0.664,0.358,0.364,0.133925352,0.152,0.147091808,0.146642422
84,0.75,0.3,0.9,0.67,0.642,0.356,0.34,0.13892444,0.115047816,0.148539557,0.158745079
85,0.75,0.5,0.1,0.644,0.64,0.328,0.332,0.140228385,0.144222051,0.137171426,0.139197701
86,0.75,0.5,0.3,0.694,0.662,0.342,0.386,0.148875787,0.142674455,0.15111585,0.163719272
87,0.75,0.5,0.5,0.652,0.654,0.316,0.336,0.131514258,0.134476764,0.148808602,0.162185079
88,0.75,0.5,0.7,0.642,0.682,0.348,0.358,0.141548578,0.143791516,0.148647233,0.167439541
89,0.75,0.5,0.9,0.634,0.65,0.35,0.358,0.155704849,0.15132746,0.140356688,0.14572577
90,0.75,0.7,0.1,0.62,0.644,0.372,0.372,0.146969385,0.131392542,0.128124939,0.18443427
91,0.75,0.7,0.3,0.638,0.672,0.352,0.316,0.134,0.163755916,0.164,0.136176356
92,0.75,0.7,0.5,0.654,0.64,0.34,0.37,0.14589037,0.150996689,0.134164079,0.156524758
93,0.75,0.7,0.7,0.628,0.646,0.376,0.348,0.153674982,0.149946657,0.153049012,0.128436755
94,0.75,0.7,0.9,0.652,0.63,0.32,0.332,0.148647233,0.164012195,0.126491106,0.181592951
95,0.75,0.9,0.1,0.65,0.666,0.348,0.34,0.15132746,0.158252962,0.165215011,0.144222051
96,0.75,0.9,0.3,0.648,0.648,0.344,0.34,0.133026313,0.113560557,0.140228385,0.14832397
97,0.75,0.9,0.5,0.638,0.642,0.372,0.352,0.145451023,0.147091808,0.151049661,0.149986666
98,0.75,0.9,0.7,0.626,0.654,0.392,0.356,0.169481562,0.155190206,0.135410487,0.144443761
99,0.75,0.9,0.9,0.636,0.688,0.352,0.326,0.162185079,0.158290871,0.148647233,0.163474769
100,1,0.1,0.1,0.606,0.616,0.354,0.386,0.158,0.156665248,0.132981202,0.142842571
101,1,0.1,0.3,0.64,0.624,0.374,0.368,0.152315462,0.169186288,0.157238672,0.148916084
102,1,0.1,0.5,0.598,0.636,0.39,0.38,0.161851784,0.157175062,0.160312195,0.12328828
103,1,0.1,0.7,0.584,0.616,0.43,0.368,0.14192956,0.122245654,0.183575598,0.113912247
104,1,0.1,0.9,0.588,0.598,0.378,0.35,0.155743379,0.158101233,0.157848028,0.16643317
105,1,0.3,0.1,0.618,0.642,0.434,0.394,0.155807574,0.137244308,0.130552671,0.140584494
106,1,0.3,0.3,0.584,0.632,0.348,0.376,0.154090882,0.152892119,0.133026313,0.160698475
107,1,0.3,0.5,0.614,0.618,0.384,0.374,0.137127678,0.153218798,0.155383397,0.162246726
108,1,0.3,0.7,0.606,0.582,0.386,0.322,0.160511682,0.119482216,0.153635933,0.122131077
109,1,0.3,0.9,0.642,0.628,0.376,0.404,0.14572577,0.161294761,0.154350251,0.141364776
110,1,0.5,0.1,0.596,0.622,0.382,0.414,0.148270024,0.128514591,0.147905375,0.163719272
111,1,0.5,0.3,0.628,0.626,0.412,0.388,0.153674982,0.122979673,0.151842023,0.162037033
112,1,0.5,0.5,0.64,0.606,0.412,0.394,0.1356466,0.156729066,0.151842023,0.151538774
113,1,0.5,0.7,0.584,0.592,0.392,0.396,0.162923295,0.154712637,0.161046577,0.142772546
114,1,0.5,0.9,0.606,0.646,0.374,0.366,0.151538774,0.15647364,0.126190332,0.151802503
115,1,0.7,0.1,0.62,0.602,0.416,0.414,0.132664992,0.184921605,0.146095859,0.151009933
116,1,0.7,0.3,0.598,0.614,0.378,0.39,0.147634684,0.137127678,0.181427672,0.152643375
117,1,0.7,0.5,0.588,0.6,0.38,0.386,0.129058126,0.144222051,0.141421356,0.135661343
118,1,0.7,0.7,0.658,0.624,0.4,0.358,0.128202964,0.163168624,0.141421356,0.14572577
119,1,0.7,0.9,0.618,0.62,0.394,0.386,0.132196823,0.176635217,0.144789502,0.131164019
120,1,0.9,0.1,0.598,0.59,0.362,0.424,0.158101233,0.159059737,0.141265707,0.137927517
121,1,0.9,0.3,0.574,0.562,0.44,0.388,0.159762323,0.135484316,0.144222051,0.14091132
122,1,0.9,0.5,0.616,0.63,0.388,0.364,0.164146276,0.133041347,0.16079801,0.154609185
123,1,0.9,0.7,0.612,0.61,0.37,0.364,0.170458206,0.15,0.13,0.132302683
124,1,0.9,0.9,0.648,0.638,0.412,0.358,0.159047163,0.173078017,0.14918445,0.15111585
125,1.5,0.1,0.1,0.562,0.582,0.428,0.454,0.148175572,0.171685759,0.151049661,0.161505418
126,1.5,0.1,0.3,0.58,0.606,0.448,0.448,0.137113092,0.15285287,0.17577258,0.181372545
127,1.5,0.1,0.5,0.566,0.59,0.404,0.416,0.168059513,0.153948043,0.150943698,0.146095859
128,1.5,0.1,0.7,0.542,0.578,0.43,0.388,0.148445276,0.157848028,0.143178211,0.157022291
129,1.5,0.1,0.9,0.58,0.594,0.41,0.424,0.154919334,0.182658151,0.162788206,0.18062115
130,1.5,0.3,0.1,0.592,0.588,0.428,0.428,0.174172328,0.151842023,0.175544866,0.154970965
131,1.5,0.3,0.3,0.608,0.586,0.426,0.408,0.133925352,0.156217797,0.168297356,0.146751491
132,1.5,0.3,0.5,0.604,0.608,0.448,0.392,0.150943698,0.157276826,0.149986666,0.152105227
133,1.5,0.3,0.7,0.588,0.58,0.404,0.386,0.121061968,0.137113092,0.170833252,0.132680066
134,1.5,0.3,0.9,0.584,0.57,0.45,0.426,0.155383397,0.145945195,0.174642492,0.162246726
135,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.17,0.151736614,0.157594416,0.16511814
136,1.5,0.5,0.3,0.59,0.582,0.418,0.396,0.157797338,0.146546921,0.157085964,0.142772546
137,1.5,0.5,0.5,0.56,0.572,0.458,0.41,0.154919334,0.157530949,0.140128512,0.159059737
138,1.5,0.5,0.7,0.566,0.594,0.424,0.396,0.172754161,0.146164291,0.158189759,0.148270024
139,1.5,0.5,0.9,0.586,0.574,0.476,0.44,0.145615933,0.132378246,0.153049012,0.152315462
140,1.5,0.7,0.1,0.598,0.558,0.452,0.428,0.120813906,0.147091808,0.151314243,0.158795466
141,1.5,0.7,0.3,0.628,0.644,0.434,0.406,0.14427751,0.155125755,0.149144226,0.148875787
142,1.5,0.7,0.5,0.552,0.576,0.396,0.448,0.140342438,0.168,0.146914941,0.16277592
143,1.5,0.7,0.7,0.564,0.546,0.44,0.452,0.148,0.157746632,0.137113092,0.159047163
144,1.5,0.7,0.9,0.584,0.556,0.392,0.42,0.154090882,0.149879952,0.138332932,0.154919334
145,1.5,0.9,0.1,0.546,0.572,0.462,0.432,0.159009434,0.169752761,0.141265707,0.143443369
146,1.5,0.9,0.3,0.626,0.56,0.414,0.388,0.167104758,0.178885438,0.142842571,0.150519102
147,1.5,0.9,0.5,0.554,0.548,0.384,0.432,0.137419067,0.152630272,0.173620275,0.163021471
148,1.5,0.9,0.7,0.578,0.58,0.424,0.362,0.138982013,0.1356466,0.146369396,0.138405202
149,1.5,0.9,0.9,0.604,0.58,0.41,0.394,0.137054734,0.145602198,0.155241747,0.143401534
