,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,mid,ans,bll,lf,mAC,mAI,mPC,mPI,min_rmse
11,16,0.9166666666666666,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0,88.0,0.75,0.5,0.7,0.642,0.682,0.348,0.358,0.3330608477730743
12,17,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666,0.9722222222222222,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5363092007257111
13,18,0.75,1.0,0.16666666666666666,0.16666666666666666,0.8611111111111112,0.5,0,40.0,0.25,0.7,0.1,0.8540000000000001,0.892,0.14800000000000002,0.122,0.2032792581757693
14,20,0.18181818181818185,0.8,0.1,0.16666666666666666,0.8125,0.25,4,66.0,0.5,0.7,0.3,0.652,0.726,0.318,0.284,0.5882622301079987
15,21,0.9090909090909092,0.8333333333333334,0.9166666666666666,1.0,0.8857142857142857,0.9142857142857144,1,143.0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,0.5519616134872273
16,22,1.0,1.0,0.6666666666666666,1.0,0.9166666666666666,0.8888888888888888,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5903924416330324
17,24,0.8333333333333334,1.0,0.5833333333333334,0.6666666666666666,0.8888888888888888,0.75,0,88.0,0.75,0.5,0.7,0.642,0.682,0.348,0.358,0.35360758584143775
18,25,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8055555555555556,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.4305327971766677
19,26,1.0,1.0,0.9166666666666666,1.0,0.9714285714285714,0.9714285714285714,1,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5363092007257111
20,27,1.0,1.0,0.9090909090909092,1.0,0.7428571428571429,0.9714285714285714,1,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5348463140958292
21,28,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.6666666666666666,0.8857142857142857,0.7714285714285715,1,139.0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,0.2643024936864336
22,30,0.75,0.6666666666666666,0.4166666666666667,0.5,0.8333333333333334,0.5833333333333334,0,86.0,0.75,0.5,0.3,0.6940000000000001,0.662,0.342,0.386,0.12621449840566787
23,31,0.3333333333333333,0.75,0.8,1.0,0.6875,0.625,20,145.0,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,0.7355429109193742
24,32,0.9166666666666666,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8888888888888888,0,143.0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,0.5370660358891255
25,33,0.9166666666666666,1.0,1.0,1.0,0.5142857142857142,0.9714285714285714,1,145.0,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,0.5791435481680435
26,35,0.9166666666666666,1.0,0.75,0.8333333333333334,0.8611111111111112,0.8611111111111112,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.39768682124926397
27,36,1.0,1.0,0.8333333333333334,1.0,0.8055555555555556,0.9444444444444444,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5355638913258697
28,38,0.5,0.8333333333333334,0.08333333333333333,0.2,0.5142857142857142,0.37142857142857133,1,63.0,0.5,0.5,0.7,0.6679999999999999,0.7020000000000001,0.258,0.28,0.33536931441415363
29,39,1.0,1.0,0.6666666666666666,0.8333333333333334,0.8888888888888888,0.8611111111111112,0,86.0,0.75,0.5,0.3,0.6940000000000001,0.662,0.342,0.386,0.44026481836301007
30,40,1.0,1.0,0.08333333333333333,0.0,0.6,0.5142857142857142,1,24.0,0.1,0.9,0.9,0.9940000000000001,0.992,0.016,0.004,0.07767513975312834
31,41,0.8333333333333334,0.6,0.5,0.6,0.7352941176470589,0.6470588235294118,2,146.0,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,0.27746513075471585
32,42,0.5833333333333334,0.5,0.16666666666666666,0.5,0.5277777777777778,0.4166666666666667,0,120.0,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,0.27689822217371934
