,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,ans,bll,lf,mAC,mAI,mPC,mPI,mid,min_rmse
33,43,0.5833333333333334,0.5,0.5833333333333334,0.6,0.8,0.5714285714285714,1,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.0992760125441522
34,44,0.9166666666666666,1.0,0.75,0.8333333333333334,0.6388888888888888,0.8611111111111112,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.04125639344392575
35,46,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.8055555555555556,0,0.75,0.5,0.3,0.6940000000000001,0.662,0.342,0.386,86.0,0.1684151418370688
36,47,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,1.0,0.75,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.115569603846917
37,49,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.8055555555555556,0,1.5,0.5,0.5,0.56,0.5720000000000001,0.45799999999999996,0.41,137.0,0.0743984318831161
38,50,1.0,1.0,0.6666666666666666,1.0,0.75,0.8888888888888888,0,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,120.0,0.15794954890723809
39,51,1.0,1.0,0.5454545454545454,0.5,0.8571428571428571,0.7714285714285715,1,0.5,0.1,0.9,0.7240000000000001,0.726,0.302,0.256,54.0,0.01811021811022716
40,52,0.9166666666666666,1.0,0.75,0.6666666666666666,0.8611111111111112,0.8333333333333334,0,1.0,0.1,0.7,0.584,0.616,0.43,0.368,103.0,0.042764393288498
41,53,0.0,0.3333333333333333,0.0,0.0,0.4857142857142857,0.057142857142857134,1,1.0,0.3,0.3,0.584,0.632,0.348,0.376,106.0,0.17172514861448415
42,55,0.25,0.6666666666666666,0.0,0.16666666666666666,0.9166666666666666,0.2222222222222222,0,0.5,0.7,0.3,0.652,0.726,0.318,0.284,66.0,0.22941431225332623
43,58,1.0,1.0,0.8333333333333334,1.0,0.9166666666666666,0.9444444444444444,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.07566985309002962
