,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,alpha,egs,mAC,mAI,mPC,mPI,mid,min_rmse,r1,r2
17,24,0.8333333333333334,1.0,0.5833333333333334,0.6666666666666666,0.8888888888888888,0.75,0,0.1,0.9,0.562,0.51,0.41,0.47200000000000003,137.0,0.170268679836702,5.0,0.0
18,25,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8055555555555556,0,0.1,0.5,0.47,0.508,0.444,0.556,76.0,0.13055403734341833,0.0,-0.1
19,26,1.0,1.0,0.9166666666666666,1.0,0.9714285714285714,0.9714285714285714,1,0.1,0.9,0.514,0.506,0.444,0.52,124.0,0.010082658379613979,0.5,-0.1
20,27,1.0,1.0,0.9090909090909092,1.0,0.7428571428571429,0.9714285714285714,1,0.1,0.9,0.512,0.49200000000000005,0.424,0.516,131.0,0.013945847649629141,1.0,0.0
21,28,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.6666666666666666,0.8857142857142857,0.7714285714285715,1,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.06142670429056079,0.5,0.0
22,30,0.75,0.6666666666666666,0.4166666666666667,0.5,0.8333333333333334,0.5833333333333334,0,0.1,1.3,0.642,0.546,0.408,0.5,177.0,0.0641274252302918,10.0,-0.5
23,31,0.3333333333333333,0.75,0.8,1.0,0.6875,0.625,20,0.9,0.1,0.348,0.37799999999999995,0.632,0.638,761.0,0.254702820295863,0.0,0.0
24,32,0.9166666666666666,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8888888888888888,0,0.9,1.3,0.52,0.41,0.44799999999999995,0.588,873.0,0.02275573187865714,0.1,-0.5
25,33,0.9166666666666666,1.0,1.0,1.0,0.5142857142857142,0.9714285714285714,1,0.1,0.5,0.45799999999999996,0.54,0.504,0.532,81.0,0.020824504796032966,0.1,-0.5
26,35,0.9166666666666666,1.0,0.75,0.8333333333333334,0.8611111111111112,0.8611111111111112,0,0.1,0.9,0.562,0.51,0.41,0.47200000000000003,137.0,0.08925743666496366,5.0,0.0
27,36,1.0,1.0,0.8333333333333334,1.0,0.8055555555555556,0.9444444444444444,0,0.5,0.5,0.524,0.48200000000000004,0.418,0.55,449.0,0.04865723652928376,0.5,0.0
28,38,0.5,0.8333333333333334,0.08333333333333333,0.2,0.5142857142857142,0.37142857142857133,1,0.1,1.3,0.614,0.536,0.38,0.506,179.0,0.32848296759497286,10.0,0.0
29,39,1.0,1.0,0.6666666666666666,0.8333333333333334,0.8888888888888888,0.8611111111111112,0,0.1,1.3,0.614,0.536,0.38,0.506,179.0,0.08497938965812044,10.0,0.0
30,40,1.0,1.0,0.08333333333333333,0.0,0.6,0.5142857142857142,1,0.5,1.3,0.802,0.502,0.2,0.488,532.0,0.46574448645868766,5.0,-0.1
31,41,0.8333333333333334,0.6,0.5,0.6,0.7352941176470589,0.6470588235294118,2,0.5,0.5,0.6659999999999999,0.474,0.34,0.48,455.0,0.0334194554114815,1.0,0.0
32,42,0.5833333333333334,0.5,0.16666666666666666,0.5,0.5277777777777778,0.4166666666666667,0,0.7,0.5,0.672,0.49200000000000005,0.31,0.564,635.0,0.0809243885776511,1.0,0.0
33,43,0.5833333333333334,0.5,0.5833333333333334,0.6,0.8,0.5714285714285714,1,0.1,1.3,0.52,0.42200000000000004,0.508,0.516,163.0,0.01114719695708298,1.0,-5.0
34,44,0.9166666666666666,1.0,0.75,0.8333333333333334,0.6388888888888888,0.8611111111111112,0,0.1,0.9,0.562,0.51,0.41,0.47200000000000003,137.0,0.08925743666496366,5.0,0.0
35,46,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.8055555555555556,0,0.1,0.5,0.638,0.512,0.322,0.516,99.0,0.1491260987665584,5.0,-0.5
