,surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries,alpha,egs,mDOC,mDOI,mPOC,mPOI,mid,min_rmse,r1,r2
47,bnlv90xh20201104,1.0,0.6,0.8,0.8,False,1.0,0.8,0,0.1,1.3,0.624,0.36,0.37799999999999995,0.5579999999999999,174.0,0.13098600434143082,10.0,-10.0
48,bs5meo4o20200214,1.0,1.0,1.0,1.0,True,0.9,1.0,0,0.1,0.9,0.506,0.512,0.502,0.508,112.0,0.0054160256030906405,0.0,-0.1
49,bsd3r0g520200208,1.0,0.8,0.4,0.6,True,1.0,0.7,0,0.5,1.3,0.802,0.502,0.2,0.488,532.0,0.09346657156438337,5.0,-0.1
50,byybve5p20200301,0.75,0.75,0.8,0.4,True,0.8888888888888888,0.6666666666666666,2,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.2227824050503091,0.5,0.0
51,cm9hz4em20200226,0.0,0.25,0.5,0.25,True,1.0,0.2857142857142857,6,0.5,0.1,0.41200000000000003,0.424,0.634,0.556,401.0,0.174696880338488,0.0,0.0
52,ct0z9wus20201202,0.0,0.0,,0.0,False,1.0,0.0,17,0.5,0.1,0.41200000000000003,0.424,0.634,0.556,401.0,100.0,0.0,0.0
53,d2xtpd3v20200213,1.0,1.0,0.4,0.6,True,0.85,0.75,0,0.3,0.9,0.754,0.496,0.25,0.504,317.0,0.2105421572987225,5.0,0.0
54,dhnyqv2x20201111,0.6,0.5,0.4,0.0,False,0.9444444444444444,0.3888888888888889,2,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.28547971323137245,0.5,0.0
55,dkhfaswf20200127,0.6,0.6666666666666666,0.6,0.2,True,1.0,0.5,2,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.24504624053431223,0.5,0.0
56,dua9l90b20201126,1.0,0.6,0.8,0.2,False,0.9473684210526316,0.631578947368421,1,0.3,0.9,0.598,0.45799999999999996,0.45399999999999996,0.48,311.0,0.4149686735164475,1.0,0.0
57,e8v50m3620201123,1.0,0.6,0.6,0.75,False,1.0,0.7368421052631579,1,0.1,0.9,0.696,0.37200000000000005,0.33,0.58,139.0,0.0772269383052313,10.0,-5.0
58,epegm9yj20201204,1.0,0.6,1.0,0.6,False,0.95,0.8,0,0.3,0.9,0.598,0.45799999999999996,0.45399999999999996,0.48,311.0,0.2902854916572075,1.0,0.0
59,ervf6ysh20201119,1.0,0.8,0.6,0.4,False,1.0,0.7,0,0.1,0.9,0.6579999999999999,0.49,0.344,0.46399999999999997,142.0,0.2282717678557732,10.0,-0.1
60,etva11td20201113,1.0,1.0,0.4,0.4,False,0.95,0.7,0,0.1,0.9,0.6579999999999999,0.49,0.344,0.46399999999999997,142.0,0.2753930524420202,10.0,-0.1
61,eychrpxv20201114,1.0,1.0,0.8,1.0,False,1.0,0.95,0,0.1,0.9,0.58,0.51,0.4,0.516,136.0,0.0635741037425355,5.0,-0.1
62,f10pqxun20200128,0.8,0.8,0.4,0.2,True,1.0,0.55,0,0.1,1.3,0.642,0.546,0.408,0.5,177.0,0.2733008110733178,10.0,-0.5
63,f5y8cohy20201116,0.0,0.6666666666666666,0.0,0.0,False,0.9411764705882352,0.1176470588235294,3,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.372477730877968,0.1,0.0
64,f94kjs2s20201109,0.6666666666666666,0.5,1.0,0.5,False,0.8888888888888888,0.6666666666666666,11,0.5,0.1,0.41200000000000003,0.424,0.634,0.556,401.0,0.2646530936905896,0.0,0.0
65,fhtjasuy20200309,1.0,1.0,0.4,1.0,True,0.9,0.85,0,0.5,1.3,0.76,0.45399999999999996,0.218,0.612,530.0,0.22191289582476573,5.0,-1.0
66,fngtfgsg20200131,1.0,1.0,1.0,0.4,True,1.0,0.85,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.3621215265625616,0.5,0.0
67,fpbpaetl20201119,1.0,1.0,0.8,0.8,False,0.9473684210526316,0.8947368421052632,1,0.1,0.9,0.562,0.51,0.41,0.47200000000000003,137.0,0.07653539486189816,5.0,0.0
68,frcsr9et20201201,1.0,0.6,0.4,0.4,False,1.0,0.6,0,0.5,1.3,0.802,0.502,0.2,0.488,532.0,0.183855015342706,5.0,-0.1
69,fyfm98tb20200210,0.2,0.8,0.6,0.6,True,0.95,0.55,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.29130796991042546,0.1,0.0
70,g1eg0dp720201115,1.0,0.6,0.8,0.8,False,0.9,0.8,0,0.1,1.3,0.624,0.36,0.37799999999999995,0.5579999999999999,174.0,0.13098600434143082,10.0,-10.0
71,g3raaqac20201201,0.4,1.0,0.8,0.6,False,1.0,0.6842105263157895,1,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.3037438613920178,0.1,0.0
72,gksx3mam20201104,0.6,0.0,0.2,0.2,False,0.8947368421052632,0.2631578947368421,1,0.1,0.1,0.66,0.34,0.36200000000000004,0.588,57.0,0.21221137261387918,1.0,-0.5
73,hgg52m4220200227,0.8,0.6,0.0,0.0,True,1.0,0.35,0,0.5,1.3,0.802,0.502,0.2,0.488,532.0,0.28671007423295514,5.0,-0.1
74,jcgu7ukk20201207,0.8,0.75,0.8,0.6,False,0.9473684210526316,0.7368421052631579,1,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.1033134389451182,0.5,0.0
75,jh3ododj20201104,1.0,1.0,0.8,0.8,False,1.0,0.9,0,0.1,0.9,0.562,0.51,0.41,0.47200000000000003,137.0,0.07653539486189816,5.0,0.0
76,jhs83ny320200302,0.8,0.6,0.8,0.8,True,1.0,0.75,0,0.1,1.3,0.542,0.418,0.522,0.544,157.0,0.05313191131514093,0.5,-5.0
77,jsandtsm20201116,1.0,0.8,0.8,0.6,False,0.9,0.8,0,0.3,0.9,0.598,0.45799999999999996,0.45399999999999996,0.48,311.0,0.15705306958689685,1.0,0.0
78,jszq12ry20200302,1.0,0.75,0.4,0.6,True,0.9473684210526316,0.6842105263157895,1,0.5,1.3,0.802,0.502,0.2,0.488,532.0,0.07007852738178791,5.0,-0.1
79,jtgsfocm20201110,0.75,0.6,0.4,0.4,False,0.9473684210526316,0.5263157894736842,1,0.1,0.9,0.6579999999999999,0.49,0.344,0.46399999999999997,142.0,0.0926444817568753,10.0,-0.1
80,jw9595dy20201103,0.25,0.6,0.0,0.2,False,0.8947368421052632,0.2631578947368421,1,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.26009998077662366,0.1,0.0
81,k1nlvgjw20201120,1.0,0.8,0.8,0.6,False,0.95,0.8,0,0.3,0.9,0.598,0.45799999999999996,0.45399999999999996,0.48,311.0,0.15705306958689685,1.0,0.0
82,k5us58ta20201118,1.0,1.0,1.0,1.0,False,1.0,1.0,7,0.1,0.9,0.506,0.512,0.502,0.508,112.0,0.0054160256030906405,0.0,-0.1
83,ka19xw0720201118,0.6,0.5,0.0,0.6,False,0.9473684210526316,0.42105263157894735,1,0.5,1.3,0.76,0.45399999999999996,0.218,0.612,530.0,0.17149927113547742,5.0,-1.0
84,khmdqt1d20201120,1.0,1.0,1.0,0.6,False,1.0,0.9,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.23309225641363548,0.5,0.0
85,khmqwngv20201125,0.8,1.0,0.8,0.8,False,0.95,0.85,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.07434379597518546,0.1,0.0
86,kkdkln3w20201121,0.0,0.6,0.0,0.4,False,0.95,0.25,0,0.1,0.5,0.47,0.508,0.444,0.556,76.0,0.3701841883891495,0.0,-0.1
87,l6mx3upp20201111,0.0,0.0,0.0,0.0,False,0.8571428571428571,0.0,6,0.1,0.9,0.506,0.512,0.502,0.508,112.0,0.0054160256030906405,0.0,-0.1
88,lavpu7s720201109,0.6666666666666666,1.0,1.0,0.8,False,1.0,0.8888888888888888,2,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.1745407115832865,0.1,0.0
89,llfb9sc220201102,1.0,1.0,1.0,1.0,False,1.0,1.0,0,0.1,0.9,0.506,0.512,0.502,0.508,112.0,0.0054160256030906405,0.0,-0.1
90,m5upgrz820200113,0.8,0.4,0.4,0.4,True,1.0,0.5,0,0.7,0.5,0.722,0.466,0.314,0.516,634.0,0.14373702840024674,1.0,-0.1
91,m77dce3920200208,0.6,0.6,0.8,0.8,True,1.0,0.7,0,0.7,0.1,0.426,0.38,0.634,0.61,581.0,0.031900888179902866,0.0,0.0
92,mjkg31a820201102,0.6,1.0,0.6,0.6,False,0.9444444444444444,0.6666666666666666,2,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.20098175704940655,0.1,0.0
93,mlw4ef5020200128,1.0,1.0,0.75,0.75,True,0.7333333333333333,0.8666666666666667,5,0.1,1.3,0.642,0.546,0.408,0.5,177.0,0.0996326586349409,10.0,-0.5
94,mzbmhmq820201113,1.0,1.0,1.0,1.0,False,1.0,1.0,2,0.1,0.9,0.506,0.512,0.502,0.508,112.0,0.0054160256030906405,0.0,-0.1
95,n10np7qf20200307,0.8,1.0,0.8,1.0,True,0.95,0.9,0,0.1,0.5,0.47,0.508,0.444,0.556,76.0,0.10662863905474301,0.0,-0.1
96,nll42gx020201125,0.6,1.0,0.8,0.2,False,0.95,0.65,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.41319123901651156,0.1,0.0
97,nmflx2le20200308,0.8,1.0,1.0,1.0,True,1.0,0.95,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.08362814518250819,0.1,0.0
98,nn8l7htm20200208,0.8,1.0,1.0,1.0,True,0.95,0.95,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.08362814518250819,0.1,0.0
99,nv62373d20200306,0.8,0.6,0.4,0.6,True,1.0,0.6,0,0.1,0.9,0.664,0.47600000000000003,0.314,0.514,141.0,0.026331223544175338,10.0,-0.5
100,o42peyga20200227,0.6666666666666666,0.75,0.75,1.0,True,0.9333333333333332,0.8,5,0.3,0.9,0.47,0.46399999999999997,0.48200000000000004,0.5920000000000001,302.0,0.11094349913356798,0.5,-1.0
101,o5v23rrz20200304,0.4,0.4,0.4,0.2,True,1.0,0.35,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.10423690964976529,0.5,0.0
102,o6eldlqz20200129,0.8,0.5,1.0,0.75,True,1.0,0.7647058823529411,3,0.7,0.1,0.426,0.38,0.634,0.61,581.0,0.19632286333146903,0.0,0.0
103,ob5p7xxa20201119,0.8,1.0,1.0,0.8,False,0.9,0.9,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.1199736082089168,0.1,0.0
104,ok6o9kx720200209,1.0,1.0,0.6,0.5,True,0.9444444444444444,0.7777777777777778,2,0.1,1.3,0.642,0.546,0.408,0.5,177.0,0.21770009952531794,10.0,-0.5
105,p2achudm20201123,1.0,1.0,1.0,1.0,False,1.0,1.0,0,0.1,0.9,0.506,0.512,0.502,0.508,112.0,0.0054160256030906405,0.0,-0.1
106,p93k4k4v20201204,0.4,0.4,0.6,0.2,False,1.0,0.4,0,0.7,0.5,0.462,0.442,0.546,0.47600000000000003,616.0,0.19389086277250578,0.0,-0.1
107,pglz36nx20200127,1.0,1.0,1.0,0.8,True,1.0,0.95,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.10423690964976529,0.5,0.0
108,pl59ybvr20201103,1.0,0.8,0.8,0.8,False,0.95,0.85,0,0.3,0.9,0.598,0.45799999999999996,0.45399999999999996,0.48,311.0,0.04395831358609351,1.0,0.0
109,plcd2fbz20200301,0.25,0.5,0.3333333333333333,0.5,True,1.0,0.38461538461538464,7,0.1,0.5,0.45799999999999996,0.54,0.504,0.532,81.0,0.12646077125601704,0.1,-0.5
110,pmqrpsua20200130,1.0,0.6,0.8,0.4,True,0.85,0.7,0,0.3,0.9,0.598,0.45799999999999996,0.45399999999999996,0.48,311.0,0.29910811869066123,1.0,0.0
111,pyb36j9a20200211,0.75,1.0,1.0,0.8,True,0.9473684210526316,0.8947368421052632,1,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.13669430614818356,0.1,0.0
112,q1pba6fp20201106,0.6,0.5,0.5,0.5,False,0.9333333333333332,0.5333333333333333,5,0.1,0.5,0.5660000000000001,0.46399999999999997,0.47200000000000003,0.478,95.0,0.006831300510639732,1.0,0.0
