,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,mid,alpha,egs,mAC,mAI,mPC,mPI,min_rmse,r1,r2
11,16,0.9166666666666666,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0,177.0,0.1,1.3,0.642,0.546,0.408,0.5,0.4523249048795849,10.0,-0.5
12,17,1.0,1.0,0.9166666666666666,1.0,0.9166666666666666,0.9722222222222222,0,484.0,0.5,0.9,0.5579999999999999,0.526,0.452,0.55,0.47817132765928105,0.5,-0.1
13,18,0.75,1.0,0.16666666666666666,0.16666666666666666,0.8611111111111112,0.5,0,177.0,0.1,1.3,0.642,0.546,0.408,0.5,0.6988907235032561,10.0,-0.5
14,20,0.18181818181818185,0.8,0.1,0.16666666666666666,0.8125,0.25,4,83.0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,0.6676813258928791,0.1,0.0
15,21,0.9090909090909092,0.8333333333333334,0.9166666666666666,1.0,0.8857142857142857,0.9142857142857144,1,651.0,0.7,0.9,0.51,0.44799999999999995,0.552,0.6,0.41015282312038814,0.0,-0.5
16,22,1.0,1.0,0.6666666666666666,1.0,0.9166666666666666,0.8888888888888888,0,635.0,0.7,0.5,0.672,0.49200000000000005,0.31,0.564,0.5274557717987003,1.0,0.0
17,24,0.8333333333333334,1.0,0.5833333333333334,0.6666666666666666,0.8888888888888888,0.75,0,177.0,0.1,1.3,0.642,0.546,0.408,0.5,0.44964252808364225,10.0,-0.5
18,25,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8055555555555556,0,484.0,0.5,0.9,0.5579999999999999,0.526,0.452,0.55,0.46809005663486825,0.5,-0.1
19,26,1.0,1.0,0.9166666666666666,1.0,0.9714285714285714,0.9714285714285714,1,484.0,0.5,0.9,0.5579999999999999,0.526,0.452,0.55,0.47817132765928105,0.5,-0.1
20,27,1.0,1.0,0.9090909090909092,1.0,0.7428571428571429,0.9714285714285714,1,484.0,0.5,0.9,0.5579999999999999,0.526,0.452,0.55,0.4750274665652058,0.5,-0.1
21,28,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.6666666666666666,0.8857142857142857,0.7714285714285715,1,172.0,0.1,1.3,0.598,0.514,0.46799999999999997,0.494,0.3303432167140794,5.0,-0.1
22,30,0.75,0.6666666666666666,0.4166666666666667,0.5,0.8333333333333334,0.5833333333333334,0,177.0,0.1,1.3,0.642,0.546,0.408,0.5,0.14521311378806928,10.0,-0.5
23,31,0.3333333333333333,0.75,0.8,1.0,0.6875,0.625,20,761.0,0.9,0.1,0.348,0.37799999999999995,0.632,0.638,0.5275888363864237,0.0,0.0
24,32,0.9166666666666666,0.8333333333333334,0.8333333333333334,1.0,1.0,0.8888888888888888,0,308.0,0.3,0.9,0.586,0.48200000000000004,0.456,0.5920000000000001,0.4046887132444348,1.0,-1.0
25,33,0.9166666666666666,1.0,1.0,1.0,0.5142857142857142,0.9714285714285714,1,81.0,0.1,0.5,0.45799999999999996,0.54,0.504,0.532,0.4917319031003894,0.1,-0.5
26,35,0.9166666666666666,1.0,0.75,0.8333333333333334,0.8611111111111112,0.8611111111111112,0,484.0,0.5,0.9,0.5579999999999999,0.526,0.452,0.55,0.46023050633572493,0.5,-0.1
27,36,1.0,1.0,0.8333333333333334,1.0,0.8055555555555556,0.9444444444444444,0,484.0,0.5,0.9,0.5579999999999999,0.526,0.452,0.55,0.4882750530114188,0.5,-0.1
28,38,0.5,0.8333333333333334,0.08333333333333333,0.2,0.5142857142857142,0.37142857142857133,1,179.0,0.1,1.3,0.614,0.536,0.38,0.506,0.5944952897824151,10.0,0.0
29,39,1.0,1.0,0.6666666666666666,0.8333333333333334,0.8888888888888888,0.8611111111111112,0,177.0,0.1,1.3,0.642,0.546,0.408,0.5,0.45256112406623594,10.0,-0.5
30,40,1.0,1.0,0.08333333333333333,0.0,0.6,0.5142857142857142,1,677.0,0.7,0.9,0.924,0.53,0.055999999999999994,0.49200000000000005,0.8187736885668968,5.0,0.0
31,41,0.8333333333333334,0.6,0.5,0.6,0.7352941176470589,0.6470588235294118,2,143.0,0.1,0.9,0.69,0.5,0.36200000000000004,0.506,0.1566485748700165,10.0,0.0
32,42,0.5833333333333334,0.5,0.16666666666666666,0.5,0.5277777777777778,0.4166666666666667,0,635.0,0.7,0.5,0.672,0.49200000000000005,0.31,0.564,0.1711549574307596,1.0,0.0
33,43,0.5833333333333334,0.5,0.5833333333333334,0.6,0.8,0.5714285714285714,1,116.0,0.1,0.9,0.542,0.484,0.524,0.5720000000000001,0.06438587254924713,0.1,-1.0
34,44,0.9166666666666666,1.0,0.75,0.8333333333333334,0.6388888888888888,0.8611111111111112,0,484.0,0.5,0.9,0.5579999999999999,0.526,0.452,0.55,0.46023050633572493,0.5,-0.1
35,46,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.8055555555555556,0,635.0,0.7,0.5,0.672,0.49200000000000005,0.31,0.564,0.5015534671661899,1.0,0.0
36,47,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,1.0,0.75,0,179.0,0.1,1.3,0.614,0.536,0.38,0.506,0.35160354618621503,10.0,0.0
37,49,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.8055555555555556,0,694.0,0.7,1.3,0.504,0.49200000000000005,0.54,0.5,0.3863965008365735,0.1,-0.1
38,50,1.0,1.0,0.6666666666666666,1.0,0.75,0.8888888888888888,0,635.0,0.7,0.5,0.672,0.49200000000000005,0.31,0.564,0.5274557717987003,1.0,0.0
39,51,1.0,1.0,0.5454545454545454,0.5,0.8571428571428571,0.7714285714285715,1,177.0,0.1,1.3,0.642,0.546,0.408,0.5,0.5146227986749924,10.0,-0.5
40,52,0.9166666666666666,1.0,0.75,0.6666666666666666,0.8611111111111112,0.8333333333333334,0,177.0,0.1,1.3,0.642,0.546,0.408,0.5,0.48454939941504993,10.0,-0.5
