,alpha,egs,r1,r2,DOC,DOI,POC,POI
173,0.1,1.3,5,0,0.578,0.512,0.426,0.496
174,0.1,1.3,10,-10,0.624,0.36,0.378,0.558
175,0.1,1.3,10,-5,0.678,0.414,0.376,0.56
176,0.1,1.3,10,-1,0.672,0.496,0.36,0.518
177,0.1,1.3,10,-0.5,0.642,0.546,0.408,0.5
178,0.1,1.3,10,-0.1,0.636,0.496,0.35,0.538
179,0.1,1.3,10,0,0.614,0.536,0.38,0.506
180,0.3,0.01,0,-10,0.118,0,0.888,1
181,0.3,0.01,0,-5,0.11,0,0.874,1
182,0.3,0.01,0,-1,0.112,0,0.906,1
183,0.3,0.01,0,-0.5,0.122,0,0.882,1
184,0.3,0.01,0,-0.1,0.144,0.01,0.864,0.99
185,0.3,0.01,0,0,0.092,0.096,0.908,0.872
186,0.3,0.01,0.1,-10,0.55,0,0.48,1
187,0.3,0.01,0.1,-5,0.49,0,0.502,1
188,0.3,0.01,0.1,-1,0.464,0,0.47,1
189,0.3,0.01,0.1,-0.5,0.514,0,0.468,1
190,0.3,0.01,0.1,-0.1,0.524,0.01,0.494,0.99
191,0.3,0.01,0.1,0,0.518,0.124,0.498,0.888
192,0.3,0.01,0.5,-10,1,0,0,1
193,0.3,0.01,0.5,-5,1,0,0,1
194,0.3,0.01,0.5,-1,1,0,0,1
195,0.3,0.01,0.5,-0.5,1,0,0,1
196,0.3,0.01,0.5,-0.1,1,0.012,0,0.99
197,0.3,0.01,0.5,0,1,0.116,0,0.858
198,0.3,0.01,1,-10,1,0,0,1
199,0.3,0.01,1,-5,1,0,0,1
200,0.3,0.01,1,-1,1,0,0,1
201,0.3,0.01,1,-0.5,1,0,0,1
202,0.3,0.01,1,-0.1,1,0.036,0,0.98
203,0.3,0.01,1,0,1,0.096,0,0.872
204,0.3,0.01,5,-10,1,0,0,1
205,0.3,0.01,5,-5,1,0,0,1
206,0.3,0.01,5,-1,1,0,0,1
207,0.3,0.01,5,-0.5,1,0,0,1
208,0.3,0.01,5,-0.1,1,0.016,0,0.992
209,0.3,0.01,5,0,1,0.116,0,0.904
210,0.3,0.01,10,-10,1,0,0,1
211,0.3,0.01,10,-5,1,0,0,1
212,0.3,0.01,10,-1,1,0,0,1
213,0.3,0.01,10,-0.5,1,0,0,1
214,0.3,0.01,10,-0.1,1,0.012,0,0.994
215,0.3,0.01,10,0,1,0.122,0,0.894
216,0.3,0.1,0,-10,0.486,0,0.592,1
217,0.3,0.1,0,-5,0.482,0,0.5,1
218,0.3,0.1,0,-1,0.472,0.1,0.572,0.904
219,0.3,0.1,0,-0.5,0.46,0.242,0.562,0.758
220,0.3,0.1,0,-0.1,0.438,0.404,0.566,0.56
221,0.3,0.1,0,0,0.432,0.47,0.544,0.53
222,0.3,0.1,0.1,-10,0.49,0,0.53,1
223,0.3,0.1,0.1,-5,0.514,0,0.496,1
224,0.3,0.1,0.1,-1,0.46,0.09,0.514,0.932
225,0.3,0.1,0.1,-0.5,0.52,0.266,0.498,0.778
226,0.3,0.1,0.1,-0.1,0.472,0.394,0.53,0.566
227,0.3,0.1,0.1,0,0.492,0.43,0.482,0.53
228,0.3,0.1,0.5,-10,0.69,0,0.314,1
229,0.3,0.1,0.5,-5,0.68,0,0.318,1
230,0.3,0.1,0.5,-1,0.684,0.11,0.298,0.9
231,0.3,0.1,0.5,-0.5,0.696,0.216,0.34,0.776
232,0.3,0.1,0.5,-0.1,0.668,0.424,0.284,0.572
233,0.3,0.1,0.5,0,0.716,0.474,0.298,0.56
234,0.3,0.1,1,-10,0.844,0,0.128,1
235,0.3,0.1,1,-5,0.862,0,0.114,1
236,0.3,0.1,1,-1,0.848,0.074,0.156,0.888
237,0.3,0.1,1,-0.5,0.88,0.226,0.102,0.764
238,0.3,0.1,1,-0.1,0.868,0.402,0.154,0.622
239,0.3,0.1,1,0,0.858,0.46,0.132,0.52
240,0.3,0.1,5,-10,1,0,0,1
241,0.3,0.1,5,-5,1,0,0,1
242,0.3,0.1,5,-1,1,0.096,0,0.908
243,0.3,0.1,5,-0.5,1,0.25,0,0.756
244,0.3,0.1,5,-0.1,1,0.428,0,0.608
